"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1781,"2026-03-30"
"CDU Fraktion Hannover",814,"2026-03-30"
"SPD Stadt Hannover",3282,"2026-03-30"
"SPD Fraktion Hannover",2697,"2026-03-30"
"Grüne Stadt Hannover",3708,"2026-03-30"
"Grüne Fraktion Hannover",1292,"2026-03-30"
"Grüne Kandidat Hannover",1292,"2026-03-30"
"FDP Stadt Hannover",743,"2026-03-30"
"AfD Stadt Hannover",9184,"2026-03-30"
"AfD Fraktion Hannover",3590,"2026-03-30"
"Volt Stadt Hannover",527,"2026-03-30"
"Linke Stadt Hannover",1192,"2026-03-30"
"Linke Fraktion Hannover",805,"2026-03-30"
"Piraten Stadt Hannover",518,"2026-03-30"
"Die Hannoveraner Stadt Hannover",NA,"2026-03-30"
"Die PARTEI Stadt Hannover",5581,"2026-03-30"
"Freie Wähler Stadt Hannover",191,"2026-03-30"
