"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1836,"2026-08-24"
"CDU Fraktion Hannover",835,"2026-08-24"
"SPD Stadt Hannover",3277,"2026-08-24"
"SPD Fraktion Hannover",2740,"2026-08-24"
"Grüne Stadt Hannover",4481,"2026-08-24"
"Grüne Fraktion Hannover",1369,"2026-08-24"
"Grüne Kandidat Hannover",1369,"2026-08-24"
"FDP Stadt Hannover",741,"2026-08-24"
"AfD Stadt Hannover",10436,"2026-08-24"
"AfD Fraktion Hannover",3736,"2026-08-24"
"Volt Stadt Hannover",547,"2026-08-24"
"Linke Stadt Hannover",1277,"2026-08-24"
"Linke Fraktion Hannover",820,"2026-08-24"
"Piraten Stadt Hannover",520,"2026-08-24"
"Die Hannoveraner Stadt Hannover",1310,"2026-08-24"
"Die PARTEI Stadt Hannover",5567,"2026-08-24"
"Freie Wähler Stadt Hannover",189,"2026-08-24"
"CDU Stadt Braunschweig",1079,"2026-08-24"
"CDU Fraktion Braunschweig",1323,"2026-08-24"
"SPD Stadt Braunschweig",1630,"2026-08-24"
"SPD Fraktion Braunschweig",670,"2026-08-24"
"SPD Kandidat Braunschweig",1076,"2026-08-24"
"Grüne Stadt Braunschweig",1103,"2026-08-24"
"FDP Stadt Braunschweig",861,"2026-08-24"
"AfD Fraktion Braunschweig",3186,"2026-08-24"
"Volt Stadt Braunschweig",516,"2026-08-24"
"Linke Stadt Braunschweig",1216,"2026-08-24"
"BIBS Stadt Braunschweig",NA,"2026-08-24"
"Die PARTEI Stadt Braunschweig",2455,"2026-08-24"
