"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1810,"2026-07-06"
"CDU Fraktion Hannover",832,"2026-07-06"
"SPD Stadt Hannover",3277,"2026-07-06"
"SPD Fraktion Hannover",2739,"2026-07-06"
"Grüne Stadt Hannover",3726,"2026-07-06"
"Grüne Fraktion Hannover",1329,"2026-07-06"
"Grüne Kandidat Hannover",1329,"2026-07-06"
"FDP Stadt Hannover",744,"2026-07-06"
"AfD Stadt Hannover",9259,"2026-07-06"
"AfD Fraktion Hannover",3661,"2026-07-06"
"Volt Stadt Hannover",542,"2026-07-06"
"Linke Stadt Hannover",1196,"2026-07-06"
"Linke Fraktion Hannover",816,"2026-07-06"
"Piraten Stadt Hannover",520,"2026-07-06"
"Die Hannoveraner Stadt Hannover",1218,"2026-07-06"
"Die PARTEI Stadt Hannover",5576,"2026-07-06"
"Freie Wähler Stadt Hannover",189,"2026-07-06"
"CDU Stadt Braunschweig",1067,"2026-07-06"
"CDU Fraktion Braunschweig",1312,"2026-07-06"
"SPD Stadt Braunschweig",1630,"2026-07-06"
"SPD Fraktion Braunschweig",666,"2026-07-06"
"SPD Kandidat Braunschweig",1075,"2026-07-06"
"Grüne Stadt Braunschweig",1073,"2026-07-06"
"FDP Stadt Braunschweig",861,"2026-07-06"
"AfD Fraktion Braunschweig",3187,"2026-07-06"
"Volt Stadt Braunschweig",518,"2026-07-06"
"Linke Stadt Braunschweig",1209,"2026-07-06"
"BIBS Stadt Braunschweig",NA,"2026-07-06"
"Die PARTEI Stadt Braunschweig",2459,"2026-07-06"
