"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1822,"2026-08-03"
"CDU Fraktion Hannover",832,"2026-08-03"
"SPD Stadt Hannover",3276,"2026-08-03"
"SPD Fraktion Hannover",2738,"2026-08-03"
"Grüne Stadt Hannover",4290,"2026-08-03"
"Grüne Fraktion Hannover",1340,"2026-08-03"
"Grüne Kandidat Hannover",1340,"2026-08-03"
"FDP Stadt Hannover",740,"2026-08-03"
"AfD Stadt Hannover",9700,"2026-08-03"
"AfD Fraktion Hannover",3693,"2026-08-03"
"Volt Stadt Hannover",545,"2026-08-03"
"Linke Stadt Hannover",1246,"2026-08-03"
"Linke Fraktion Hannover",818,"2026-08-03"
"Piraten Stadt Hannover",520,"2026-08-03"
"Die Hannoveraner Stadt Hannover",1280,"2026-08-03"
"Die PARTEI Stadt Hannover",5567,"2026-08-03"
"Freie Wähler Stadt Hannover",189,"2026-08-03"
"CDU Stadt Braunschweig",1069,"2026-08-03"
"CDU Fraktion Braunschweig",1317,"2026-08-03"
"SPD Stadt Braunschweig",1631,"2026-08-03"
"SPD Fraktion Braunschweig",669,"2026-08-03"
"SPD Kandidat Braunschweig",1078,"2026-08-03"
"Grüne Stadt Braunschweig",1093,"2026-08-03"
"FDP Stadt Braunschweig",860,"2026-08-03"
"AfD Fraktion Braunschweig",3184,"2026-08-03"
"Volt Stadt Braunschweig",NA,"2026-08-03"
"Linke Stadt Braunschweig",1211,"2026-08-03"
"BIBS Stadt Braunschweig",NA,"2026-08-03"
"Die PARTEI Stadt Braunschweig",2455,"2026-08-03"
