"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1816,"2026-07-27"
"CDU Fraktion Hannover",831,"2026-07-27"
"SPD Stadt Hannover",3275,"2026-07-27"
"SPD Fraktion Hannover",2738,"2026-07-27"
"Grüne Stadt Hannover",4290,"2026-07-27"
"Grüne Fraktion Hannover",1338,"2026-07-27"
"Grüne Kandidat Hannover",1338,"2026-07-27"
"FDP Stadt Hannover",740,"2026-07-27"
"AfD Stadt Hannover",9660,"2026-07-27"
"AfD Fraktion Hannover",3687,"2026-07-27"
"Volt Stadt Hannover",544,"2026-07-27"
"Linke Stadt Hannover",1247,"2026-07-27"
"Linke Fraktion Hannover",818,"2026-07-27"
"Piraten Stadt Hannover",520,"2026-07-27"
"Die Hannoveraner Stadt Hannover",1270,"2026-07-27"
"Die PARTEI Stadt Hannover",5566,"2026-07-27"
"Freie Wähler Stadt Hannover",189,"2026-07-27"
"CDU Stadt Braunschweig",1069,"2026-07-27"
"CDU Fraktion Braunschweig",1318,"2026-07-27"
"SPD Stadt Braunschweig",1630,"2026-07-27"
"SPD Fraktion Braunschweig",667,"2026-07-27"
"SPD Kandidat Braunschweig",1077,"2026-07-27"
"Grüne Stadt Braunschweig",1090,"2026-07-27"
"FDP Stadt Braunschweig",860,"2026-07-27"
"AfD Fraktion Braunschweig",3186,"2026-07-27"
"Volt Stadt Braunschweig",517,"2026-07-27"
"Linke Stadt Braunschweig",1213,"2026-07-27"
"BIBS Stadt Braunschweig",NA,"2026-07-27"
"Die PARTEI Stadt Braunschweig",2456,"2026-07-27"
