"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1796,"2026-06-15"
"CDU Fraktion Hannover",818,"2026-06-15"
"SPD Stadt Hannover",3279,"2026-06-15"
"SPD Fraktion Hannover",2735,"2026-06-15"
"Grüne Stadt Hannover",NA,"2026-06-15"
"Grüne Fraktion Hannover",1324,"2026-06-15"
"Grüne Kandidat Hannover",1324,"2026-06-15"
"FDP Stadt Hannover",744,"2026-06-15"
"AfD Stadt Hannover",9257,"2026-06-15"
"AfD Fraktion Hannover",3669,"2026-06-15"
"Volt Stadt Hannover",540,"2026-06-15"
"Linke Stadt Hannover",1189,"2026-06-15"
"Linke Fraktion Hannover",809,"2026-06-15"
"Piraten Stadt Hannover",519,"2026-06-15"
"Die Hannoveraner Stadt Hannover",1205,"2026-06-15"
"Die PARTEI Stadt Hannover",5579,"2026-06-15"
"Freie Wähler Stadt Hannover",189,"2026-06-15"
"CDU Stadt Braunschweig",1066,"2026-06-15"
"CDU Fraktion Braunschweig",1305,"2026-06-15"
"SPD Stadt Braunschweig",1628,"2026-06-15"
"SPD Fraktion Braunschweig",665,"2026-06-15"
"SPD Kandidat Braunschweig",1073,"2026-06-15"
"Grüne Stadt Braunschweig",1056,"2026-06-15"
"FDP Stadt Braunschweig",863,"2026-06-15"
"AfD Fraktion Braunschweig",3191,"2026-06-15"
"Volt Stadt Braunschweig",518,"2026-06-15"
"Linke Stadt Braunschweig",1204,"2026-06-15"
"BIBS Stadt Braunschweig",NA,"2026-06-15"
"Die PARTEI Stadt Braunschweig",2460,"2026-06-15"
