"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1825,"2026-08-10"
"CDU Fraktion Hannover",835,"2026-08-10"
"SPD Stadt Hannover",3276,"2026-08-10"
"SPD Fraktion Hannover",2739,"2026-08-10"
"Grüne Stadt Hannover",4342,"2026-08-10"
"Grüne Fraktion Hannover",1362,"2026-08-10"
"Grüne Kandidat Hannover",1362,"2026-08-10"
"FDP Stadt Hannover",741,"2026-08-10"
"AfD Stadt Hannover",9774,"2026-08-10"
"AfD Fraktion Hannover",3691,"2026-08-10"
"Volt Stadt Hannover",547,"2026-08-10"
"Linke Stadt Hannover",1272,"2026-08-10"
"Linke Fraktion Hannover",820,"2026-08-10"
"Piraten Stadt Hannover",520,"2026-08-10"
"Die Hannoveraner Stadt Hannover",1301,"2026-08-10"
"Die PARTEI Stadt Hannover",5567,"2026-08-10"
"Freie Wähler Stadt Hannover",189,"2026-08-10"
"CDU Stadt Braunschweig",1068,"2026-08-10"
"CDU Fraktion Braunschweig",1319,"2026-08-10"
"SPD Stadt Braunschweig",1630,"2026-08-10"
"SPD Fraktion Braunschweig",NA,"2026-08-10"
"SPD Kandidat Braunschweig",1077,"2026-08-10"
"Grüne Stadt Braunschweig",1098,"2026-08-10"
"FDP Stadt Braunschweig",860,"2026-08-10"
"AfD Fraktion Braunschweig",3184,"2026-08-10"
"Volt Stadt Braunschweig",516,"2026-08-10"
"Linke Stadt Braunschweig",1213,"2026-08-10"
"BIBS Stadt Braunschweig",NA,"2026-08-10"
"Die PARTEI Stadt Braunschweig",2455,"2026-08-10"
