"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1815,"2026-07-20"
"CDU Fraktion Hannover",831,"2026-07-20"
"SPD Stadt Hannover",3276,"2026-07-20"
"SPD Fraktion Hannover",NA,"2026-07-20"
"Grüne Stadt Hannover",4281,"2026-07-20"
"Grüne Fraktion Hannover",1333,"2026-07-20"
"Grüne Kandidat Hannover",NA,"2026-07-20"
"FDP Stadt Hannover",743,"2026-07-20"
"AfD Stadt Hannover",9394,"2026-07-20"
"AfD Fraktion Hannover",NA,"2026-07-20"
"Volt Stadt Hannover",543,"2026-07-20"
"Linke Stadt Hannover",1249,"2026-07-20"
"Linke Fraktion Hannover",819,"2026-07-20"
"Piraten Stadt Hannover",520,"2026-07-20"
"Die Hannoveraner Stadt Hannover",1256,"2026-07-20"
"Die PARTEI Stadt Hannover",5572,"2026-07-20"
"Freie Wähler Stadt Hannover",189,"2026-07-20"
"CDU Stadt Braunschweig",1069,"2026-07-20"
"CDU Fraktion Braunschweig",1317,"2026-07-20"
"SPD Stadt Braunschweig",1630,"2026-07-20"
"SPD Fraktion Braunschweig",667,"2026-07-20"
"SPD Kandidat Braunschweig",1076,"2026-07-20"
"Grüne Stadt Braunschweig",NA,"2026-07-20"
"FDP Stadt Braunschweig",861,"2026-07-20"
"AfD Fraktion Braunschweig",3184,"2026-07-20"
"Volt Stadt Braunschweig",519,"2026-07-20"
"Linke Stadt Braunschweig",1212,"2026-07-20"
"BIBS Stadt Braunschweig",NA,"2026-07-20"
"Die PARTEI Stadt Braunschweig",2457,"2026-07-20"
