"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1815,"2026-07-13"
"CDU Fraktion Hannover",832,"2026-07-13"
"SPD Stadt Hannover",3278,"2026-07-13"
"SPD Fraktion Hannover",2738,"2026-07-13"
"Grüne Stadt Hannover",3730,"2026-07-13"
"Grüne Fraktion Hannover",1332,"2026-07-13"
"Grüne Kandidat Hannover",1332,"2026-07-13"
"FDP Stadt Hannover",744,"2026-07-13"
"AfD Stadt Hannover",9309,"2026-07-13"
"AfD Fraktion Hannover",3662,"2026-07-13"
"Volt Stadt Hannover",543,"2026-07-13"
"Linke Stadt Hannover",1240,"2026-07-13"
"Linke Fraktion Hannover",818,"2026-07-13"
"Piraten Stadt Hannover",520,"2026-07-13"
"Die Hannoveraner Stadt Hannover",1223,"2026-07-13"
"Die PARTEI Stadt Hannover",5573,"2026-07-13"
"Freie Wähler Stadt Hannover",189,"2026-07-13"
"CDU Stadt Braunschweig",1068,"2026-07-13"
"CDU Fraktion Braunschweig",1316,"2026-07-13"
"SPD Stadt Braunschweig",1629,"2026-07-13"
"SPD Fraktion Braunschweig",665,"2026-07-13"
"SPD Kandidat Braunschweig",1076,"2026-07-13"
"Grüne Stadt Braunschweig",1079,"2026-07-13"
"FDP Stadt Braunschweig",861,"2026-07-13"
"AfD Fraktion Braunschweig",3184,"2026-07-13"
"Volt Stadt Braunschweig",519,"2026-07-13"
"Linke Stadt Braunschweig",1210,"2026-07-13"
"BIBS Stadt Braunschweig",NA,"2026-07-13"
"Die PARTEI Stadt Braunschweig",2458,"2026-07-13"
