"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1795,"2026-06-08"
"CDU Fraktion Hannover",817,"2026-06-08"
"SPD Stadt Hannover",3280,"2026-06-08"
"SPD Fraktion Hannover",2727,"2026-06-08"
"Grüne Stadt Hannover",3708,"2026-06-08"
"Grüne Fraktion Hannover",1323,"2026-06-08"
"Grüne Kandidat Hannover",1323,"2026-06-08"
"FDP Stadt Hannover",744,"2026-06-08"
"AfD Stadt Hannover",9260,"2026-06-08"
"AfD Fraktion Hannover",3648,"2026-06-08"
"Volt Stadt Hannover",540,"2026-06-08"
"Linke Stadt Hannover",1188,"2026-06-08"
"Linke Fraktion Hannover",809,"2026-06-08"
"Piraten Stadt Hannover",518,"2026-06-08"
"Die Hannoveraner Stadt Hannover",1198,"2026-06-08"
"Die PARTEI Stadt Hannover",5586,"2026-06-08"
"Freie Wähler Stadt Hannover",189,"2026-06-08"
"CDU Stadt Braunschweig",1066,"2026-06-08"
"CDU Fraktion Braunschweig",1303,"2026-06-08"
"SPD Stadt Braunschweig",1622,"2026-06-08"
"SPD Fraktion Braunschweig",666,"2026-06-08"
"SPD Kandidat Braunschweig",1074,"2026-06-08"
"Grüne Stadt Braunschweig",1055,"2026-06-08"
"FDP Stadt Braunschweig",864,"2026-06-08"
"AfD Fraktion Braunschweig",3191,"2026-06-08"
"Volt Stadt Braunschweig",518,"2026-06-08"
"Linke Stadt Braunschweig",1202,"2026-06-08"
"BIBS Stadt Braunschweig",NA,"2026-06-08"
"Die PARTEI Stadt Braunschweig",NA,"2026-06-08"
