"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1801,"2026-06-22"
"CDU Fraktion Hannover",819,"2026-06-22"
"SPD Stadt Hannover",3281,"2026-06-22"
"SPD Fraktion Hannover",2738,"2026-06-22"
"Grüne Stadt Hannover",3709,"2026-06-22"
"Grüne Fraktion Hannover",1326,"2026-06-22"
"Grüne Kandidat Hannover",1326,"2026-06-22"
"FDP Stadt Hannover",744,"2026-06-22"
"AfD Stadt Hannover",9247,"2026-06-22"
"AfD Fraktion Hannover",3660,"2026-06-22"
"Volt Stadt Hannover",540,"2026-06-22"
"Linke Stadt Hannover",1192,"2026-06-22"
"Linke Fraktion Hannover",815,"2026-06-22"
"Piraten Stadt Hannover",519,"2026-06-22"
"Die Hannoveraner Stadt Hannover",1206,"2026-06-22"
"Die PARTEI Stadt Hannover",5581,"2026-06-22"
"Freie Wähler Stadt Hannover",189,"2026-06-22"
"CDU Stadt Braunschweig",1065,"2026-06-22"
"CDU Fraktion Braunschweig",1308,"2026-06-22"
"SPD Stadt Braunschweig",1628,"2026-06-22"
"SPD Fraktion Braunschweig",665,"2026-06-22"
"SPD Kandidat Braunschweig",1075,"2026-06-22"
"Grüne Stadt Braunschweig",1056,"2026-06-22"
"FDP Stadt Braunschweig",862,"2026-06-22"
"AfD Fraktion Braunschweig",3187,"2026-06-22"
"Volt Stadt Braunschweig",518,"2026-06-22"
"Linke Stadt Braunschweig",1204,"2026-06-22"
"BIBS Stadt Braunschweig",NA,"2026-06-22"
"Die PARTEI Stadt Braunschweig",2460,"2026-06-22"
