"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1856,"2026-09-07"
"CDU Fraktion Hannover",834,"2026-09-07"
"SPD Stadt Hannover",3279,"2026-09-07"
"SPD Fraktion Hannover",NA,"2026-09-07"
"Grüne Stadt Hannover",4486,"2026-09-07"
"Grüne Fraktion Hannover",1387,"2026-09-07"
"Grüne Kandidat Hannover",1387,"2026-09-07"
"FDP Stadt Hannover",741,"2026-09-07"
"AfD Stadt Hannover",11122,"2026-09-07"
"AfD Fraktion Hannover",3743,"2026-09-07"
"Volt Stadt Hannover",549,"2026-09-07"
"Linke Stadt Hannover",1276,"2026-09-07"
"Linke Fraktion Hannover",817,"2026-09-07"
"Piraten Stadt Hannover",519,"2026-09-07"
"Die Hannoveraner Stadt Hannover",1316,"2026-09-07"
"Die PARTEI Stadt Hannover",5569,"2026-09-07"
"Freie Wähler Stadt Hannover",189,"2026-09-07"
"CDU Stadt Braunschweig",1079,"2026-09-07"
"CDU Fraktion Braunschweig",1325,"2026-09-07"
"SPD Stadt Braunschweig",1636,"2026-09-07"
"SPD Fraktion Braunschweig",673,"2026-09-07"
"SPD Kandidat Braunschweig",1075,"2026-09-07"
"Grüne Stadt Braunschweig",1108,"2026-09-07"
"FDP Stadt Braunschweig",861,"2026-09-07"
"AfD Fraktion Braunschweig",3190,"2026-09-07"
"Volt Stadt Braunschweig",517,"2026-09-07"
"Linke Stadt Braunschweig",1214,"2026-09-07"
"BIBS Stadt Braunschweig",NA,"2026-09-07"
"Die PARTEI Stadt Braunschweig",2453,"2026-09-07"
