"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1824,"2026-08-17"
"CDU Fraktion Hannover",836,"2026-08-17"
"SPD Stadt Hannover",3276,"2026-08-17"
"SPD Fraktion Hannover",2738,"2026-08-17"
"Grüne Stadt Hannover",4463,"2026-08-17"
"Grüne Fraktion Hannover",1363,"2026-08-17"
"Grüne Kandidat Hannover",NA,"2026-08-17"
"FDP Stadt Hannover",741,"2026-08-17"
"AfD Stadt Hannover",10016,"2026-08-17"
"AfD Fraktion Hannover",3719,"2026-08-17"
"Volt Stadt Hannover",545,"2026-08-17"
"Linke Stadt Hannover",1275,"2026-08-17"
"Linke Fraktion Hannover",820,"2026-08-17"
"Piraten Stadt Hannover",520,"2026-08-17"
"Die Hannoveraner Stadt Hannover",1307,"2026-08-17"
"Die PARTEI Stadt Hannover",5566,"2026-08-17"
"Freie Wähler Stadt Hannover",189,"2026-08-17"
"CDU Stadt Braunschweig",1075,"2026-08-17"
"CDU Fraktion Braunschweig",1321,"2026-08-17"
"SPD Stadt Braunschweig",1630,"2026-08-17"
"SPD Fraktion Braunschweig",669,"2026-08-17"
"SPD Kandidat Braunschweig",1076,"2026-08-17"
"Grüne Stadt Braunschweig",1100,"2026-08-17"
"FDP Stadt Braunschweig",860,"2026-08-17"
"AfD Fraktion Braunschweig",3189,"2026-08-17"
"Volt Stadt Braunschweig",515,"2026-08-17"
"Linke Stadt Braunschweig",1214,"2026-08-17"
"BIBS Stadt Braunschweig",NA,"2026-08-17"
"Die PARTEI Stadt Braunschweig",2452,"2026-08-17"
