"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1786,"2026-04-27"
"CDU Fraktion Hannover",820,"2026-04-27"
"SPD Stadt Hannover",3289,"2026-04-27"
"SPD Fraktion Hannover",2705,"2026-04-27"
"Grüne Stadt Hannover",3708,"2026-04-27"
"Grüne Fraktion Hannover",1297,"2026-04-27"
"Grüne Kandidat Hannover",1297,"2026-04-27"
"FDP Stadt Hannover",742,"2026-04-27"
"AfD Stadt Hannover",9181,"2026-04-27"
"AfD Fraktion Hannover",3597,"2026-04-27"
"Volt Stadt Hannover",529,"2026-04-27"
"Linke Stadt Hannover",1192,"2026-04-27"
"Linke Fraktion Hannover",806,"2026-04-27"
"Piraten Stadt Hannover",518,"2026-04-27"
"Die Hannoveraner Stadt Hannover",1191,"2026-04-27"
"Die PARTEI Stadt Hannover",5581,"2026-04-27"
"Freie Wähler Stadt Hannover",189,"2026-04-27"
"CDU Stadt Braunschweig",1070,"2026-04-27"
"CDU Fraktion Braunschweig",1298,"2026-04-27"
"SPD Stadt Braunschweig",1602,"2026-04-27"
"SPD Fraktion Braunschweig",665,"2026-04-27"
"SPD Kandidat Braunschweig",1076,"2026-04-27"
"Grüne Stadt Braunschweig",1049,"2026-04-27"
"FDP Stadt Braunschweig",865,"2026-04-27"
"AfD Fraktion Braunschweig",3178,"2026-04-27"
"Volt Stadt Braunschweig",514,"2026-04-27"
"Linke Stadt Braunschweig",1193,"2026-04-27"
"BIBS Stadt Braunschweig",NA,"2026-04-27"
"Die PARTEI Stadt Braunschweig",2464,"2026-04-27"
