"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1804,"2026-06-29"
"CDU Fraktion Hannover",820,"2026-06-29"
"SPD Stadt Hannover",3279,"2026-06-29"
"SPD Fraktion Hannover",2739,"2026-06-29"
"Grüne Stadt Hannover",NA,"2026-06-29"
"Grüne Fraktion Hannover",1327,"2026-06-29"
"Grüne Kandidat Hannover",1327,"2026-06-29"
"FDP Stadt Hannover",744,"2026-06-29"
"AfD Stadt Hannover",9257,"2026-06-29"
"AfD Fraktion Hannover",3660,"2026-06-29"
"Volt Stadt Hannover",540,"2026-06-29"
"Linke Stadt Hannover",1191,"2026-06-29"
"Linke Fraktion Hannover",815,"2026-06-29"
"Piraten Stadt Hannover",520,"2026-06-29"
"Die Hannoveraner Stadt Hannover",1218,"2026-06-29"
"Die PARTEI Stadt Hannover",5578,"2026-06-29"
"Freie Wähler Stadt Hannover",189,"2026-06-29"
"CDU Stadt Braunschweig",1066,"2026-06-29"
"CDU Fraktion Braunschweig",1312,"2026-06-29"
"SPD Stadt Braunschweig",1630,"2026-06-29"
"SPD Fraktion Braunschweig",665,"2026-06-29"
"SPD Kandidat Braunschweig",1075,"2026-06-29"
"Grüne Stadt Braunschweig",1055,"2026-06-29"
"FDP Stadt Braunschweig",861,"2026-06-29"
"AfD Fraktion Braunschweig",3187,"2026-06-29"
"Volt Stadt Braunschweig",518,"2026-06-29"
"Linke Stadt Braunschweig",1207,"2026-06-29"
"BIBS Stadt Braunschweig",NA,"2026-06-29"
"Die PARTEI Stadt Braunschweig",2459,"2026-06-29"
