"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1785,"2026-04-20"
"CDU Fraktion Hannover",820,"2026-04-20"
"SPD Stadt Hannover",3289,"2026-04-20"
"SPD Fraktion Hannover",2706,"2026-04-20"
"Grüne Stadt Hannover",3708,"2026-04-20"
"Grüne Fraktion Hannover",1296,"2026-04-20"
"Grüne Kandidat Hannover",1296,"2026-04-20"
"FDP Stadt Hannover",743,"2026-04-20"
"AfD Stadt Hannover",9182,"2026-04-20"
"AfD Fraktion Hannover",3593,"2026-04-20"
"Volt Stadt Hannover",529,"2026-04-20"
"Linke Stadt Hannover",1192,"2026-04-20"
"Linke Fraktion Hannover",807,"2026-04-20"
"Piraten Stadt Hannover",518,"2026-04-20"
"Die Hannoveraner Stadt Hannover",1191,"2026-04-20"
"Die PARTEI Stadt Hannover",5582,"2026-04-20"
"Freie Wähler Stadt Hannover",189,"2026-04-20"
"CDU Stadt Braunschweig",1068,"2026-04-20"
"CDU Fraktion Braunschweig",1298,"2026-04-20"
"SPD Stadt Braunschweig",1601,"2026-04-20"
"SPD Fraktion Braunschweig",665,"2026-04-20"
"SPD Kandidat Braunschweig",1079,"2026-04-20"
"Grüne Stadt Braunschweig",1048,"2026-04-20"
"FDP Stadt Braunschweig",866,"2026-04-20"
"AfD Fraktion Braunschweig",3176,"2026-04-20"
"Volt Stadt Braunschweig",515,"2026-04-20"
"Linke Stadt Braunschweig",1193,"2026-04-20"
"BIBS Stadt Braunschweig",NA,"2026-04-20"
"Die PARTEI Stadt Braunschweig",2466,"2026-04-20"
