"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1800,"2026-06-01"
"CDU Fraktion Hannover",817,"2026-06-01"
"SPD Stadt Hannover",3282,"2026-06-01"
"SPD Fraktion Hannover",2724,"2026-06-01"
"Grüne Stadt Hannover",3711,"2026-06-01"
"Grüne Fraktion Hannover",1321,"2026-06-01"
"Grüne Kandidat Hannover",1321,"2026-06-01"
"FDP Stadt Hannover",744,"2026-06-01"
"AfD Stadt Hannover",9268,"2026-06-01"
"AfD Fraktion Hannover",3646,"2026-06-01"
"Volt Stadt Hannover",541,"2026-06-01"
"Linke Stadt Hannover",1189,"2026-06-01"
"Linke Fraktion Hannover",807,"2026-06-01"
"Piraten Stadt Hannover",518,"2026-06-01"
"Die Hannoveraner Stadt Hannover",1195,"2026-06-01"
"Die PARTEI Stadt Hannover",5585,"2026-06-01"
"Freie Wähler Stadt Hannover",189,"2026-06-01"
"CDU Stadt Braunschweig",1068,"2026-06-01"
"CDU Fraktion Braunschweig",1301,"2026-06-01"
"SPD Stadt Braunschweig",1620,"2026-06-01"
"SPD Fraktion Braunschweig",665,"2026-06-01"
"SPD Kandidat Braunschweig",1074,"2026-06-01"
"Grüne Stadt Braunschweig",1055,"2026-06-01"
"FDP Stadt Braunschweig",NA,"2026-06-01"
"AfD Fraktion Braunschweig",3189,"2026-06-01"
"Volt Stadt Braunschweig",518,"2026-06-01"
"Linke Stadt Braunschweig",1200,"2026-06-01"
"BIBS Stadt Braunschweig",NA,"2026-06-01"
"Die PARTEI Stadt Braunschweig",2464,"2026-06-01"
