"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1780,"2026-03-25"
"CDU Fraktion Hannover",814,"2026-03-25"
"SPD Stadt Hannover",3280,"2026-03-25"
"SPD Fraktion Hannover",2696,"2026-03-25"
"Grüne Stadt Hannover",3705,"2026-03-25"
"Grüne Fraktion Hannover",1295,"2026-03-25"
"Grüne Kandidat Hannover",1295,"2026-03-25"
"FDP Stadt Hannover",743,"2026-03-25"
"AfD Stadt Hannover",9190,"2026-03-25"
"AfD Fraktion Hannover",3593,"2026-03-25"
"Volt Stadt Hannover",526,"2026-03-25"
"Linke Stadt Hannover",NA,"2026-03-25"
"Linke Fraktion Hannover",805,"2026-03-25"
"Piraten Stadt Hannover",518,"2026-03-25"
"Die Hannoveraner Stadt Hannover",1175,"2026-03-25"
"Die PARTEI Stadt Hannover",5583,"2026-03-25"
"Freie Wähler Stadt Hannover",191,"2026-03-25"
