"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1866,"2026-09-14"
"CDU Fraktion Hannover",834,"2026-09-14"
"SPD Stadt Hannover",3280,"2026-09-14"
"SPD Fraktion Hannover",2747,"2026-09-14"
"Grüne Stadt Hannover",4488,"2026-09-14"
"Grüne Fraktion Hannover",1395,"2026-09-14"
"Grüne Kandidat Hannover",1395,"2026-09-14"
"FDP Stadt Hannover",741,"2026-09-14"
"AfD Stadt Hannover",11632,"2026-09-14"
"AfD Fraktion Hannover",3769,"2026-09-14"
"Volt Stadt Hannover",557,"2026-09-14"
"Linke Stadt Hannover",1283,"2026-09-14"
"Linke Fraktion Hannover",819,"2026-09-14"
"Piraten Stadt Hannover",518,"2026-09-14"
"Die Hannoveraner Stadt Hannover",1316,"2026-09-14"
"Die PARTEI Stadt Hannover",5563,"2026-09-14"
"Freie Wähler Stadt Hannover",189,"2026-09-14"
"CDU Stadt Braunschweig",1080,"2026-09-14"
"CDU Fraktion Braunschweig",1325,"2026-09-14"
"SPD Stadt Braunschweig",1639,"2026-09-14"
"SPD Fraktion Braunschweig",675,"2026-09-14"
"SPD Kandidat Braunschweig",1072,"2026-09-14"
"Grüne Stadt Braunschweig",1115,"2026-09-14"
"FDP Stadt Braunschweig",863,"2026-09-14"
"AfD Fraktion Braunschweig",3198,"2026-09-14"
"Volt Stadt Braunschweig",516,"2026-09-14"
"Linke Stadt Braunschweig",1215,"2026-09-14"
"BIBS Stadt Braunschweig",NA,"2026-09-14"
"Die PARTEI Stadt Braunschweig",2457,"2026-09-14"
