"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1788,"2026-05-04"
"CDU Fraktion Hannover",819,"2026-05-04"
"SPD Stadt Hannover",3287,"2026-05-04"
"SPD Fraktion Hannover",2709,"2026-05-04"
"Grüne Stadt Hannover",3708,"2026-05-04"
"Grüne Fraktion Hannover",1301,"2026-05-04"
"Grüne Kandidat Hannover",1301,"2026-05-04"
"FDP Stadt Hannover",743,"2026-05-04"
"AfD Stadt Hannover",9180,"2026-05-04"
"AfD Fraktion Hannover",3598,"2026-05-04"
"Volt Stadt Hannover",530,"2026-05-04"
"Linke Stadt Hannover",1191,"2026-05-04"
"Linke Fraktion Hannover",806,"2026-05-04"
"Piraten Stadt Hannover",NA,"2026-05-04"
"Die Hannoveraner Stadt Hannover",1191,"2026-05-04"
"Die PARTEI Stadt Hannover",5583,"2026-05-04"
"Freie Wähler Stadt Hannover",189,"2026-05-04"
"CDU Stadt Braunschweig",1069,"2026-05-04"
"CDU Fraktion Braunschweig",1297,"2026-05-04"
"SPD Stadt Braunschweig",1607,"2026-05-04"
"SPD Fraktion Braunschweig",665,"2026-05-04"
"SPD Kandidat Braunschweig",1076,"2026-05-04"
"Grüne Stadt Braunschweig",1049,"2026-05-04"
"FDP Stadt Braunschweig",865,"2026-05-04"
"AfD Fraktion Braunschweig",3175,"2026-05-04"
"Volt Stadt Braunschweig",516,"2026-05-04"
"Linke Stadt Braunschweig",1196,"2026-05-04"
"BIBS Stadt Braunschweig",NA,"2026-05-04"
"Die PARTEI Stadt Braunschweig",2465,"2026-05-04"
