"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1788,"2026-05-18"
"CDU Fraktion Hannover",817,"2026-05-18"
"SPD Stadt Hannover",3285,"2026-05-18"
"SPD Fraktion Hannover",2712,"2026-05-18"
"Grüne Stadt Hannover",3711,"2026-05-18"
"Grüne Fraktion Hannover",1308,"2026-05-18"
"Grüne Kandidat Hannover",1308,"2026-05-18"
"FDP Stadt Hannover",744,"2026-05-18"
"AfD Stadt Hannover",9208,"2026-05-18"
"AfD Fraktion Hannover",3603,"2026-05-18"
"Volt Stadt Hannover",538,"2026-05-18"
"Linke Stadt Hannover",1192,"2026-05-18"
"Linke Fraktion Hannover",807,"2026-05-18"
"Piraten Stadt Hannover",518,"2026-05-18"
"Die Hannoveraner Stadt Hannover",1191,"2026-05-18"
"Die PARTEI Stadt Hannover",5583,"2026-05-18"
"Freie Wähler Stadt Hannover",189,"2026-05-18"
"CDU Stadt Braunschweig",1068,"2026-05-18"
"CDU Fraktion Braunschweig",1297,"2026-05-18"
"SPD Stadt Braunschweig",1611,"2026-05-18"
"SPD Fraktion Braunschweig",665,"2026-05-18"
"SPD Kandidat Braunschweig",1074,"2026-05-18"
"Grüne Stadt Braunschweig",1050,"2026-05-18"
"FDP Stadt Braunschweig",NA,"2026-05-18"
"AfD Fraktion Braunschweig",3182,"2026-05-18"
"Volt Stadt Braunschweig",518,"2026-05-18"
"Linke Stadt Braunschweig",1199,"2026-05-18"
"BIBS Stadt Braunschweig",NA,"2026-05-18"
"Die PARTEI Stadt Braunschweig",2466,"2026-05-18"
