"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1867,"2026-09-21"
"CDU Fraktion Hannover",834,"2026-09-21"
"SPD Stadt Hannover",3280,"2026-09-21"
"SPD Fraktion Hannover",2748,"2026-09-21"
"Grüne Stadt Hannover",4488,"2026-09-21"
"Grüne Fraktion Hannover",1395,"2026-09-21"
"Grüne Kandidat Hannover",1395,"2026-09-21"
"FDP Stadt Hannover",741,"2026-09-21"
"AfD Stadt Hannover",11712,"2026-09-21"
"AfD Fraktion Hannover",3772,"2026-09-21"
"Volt Stadt Hannover",557,"2026-09-21"
"Linke Stadt Hannover",1278,"2026-09-21"
"Linke Fraktion Hannover",819,"2026-09-21"
"Piraten Stadt Hannover",518,"2026-09-21"
"Die Hannoveraner Stadt Hannover",1315,"2026-09-21"
"Die PARTEI Stadt Hannover",5559,"2026-09-21"
"Freie Wähler Stadt Hannover",189,"2026-09-21"
"CDU Stadt Braunschweig",1082,"2026-09-21"
"CDU Fraktion Braunschweig",1325,"2026-09-21"
"SPD Stadt Braunschweig",1640,"2026-09-21"
"SPD Fraktion Braunschweig",675,"2026-09-21"
"SPD Kandidat Braunschweig",1084,"2026-09-21"
"Grüne Stadt Braunschweig",1119,"2026-09-21"
"FDP Stadt Braunschweig",868,"2026-09-21"
"AfD Fraktion Braunschweig",3199,"2026-09-21"
"Volt Stadt Braunschweig",516,"2026-09-21"
"Linke Stadt Braunschweig",1215,"2026-09-21"
"BIBS Stadt Braunschweig",NA,"2026-09-21"
"Die PARTEI Stadt Braunschweig",2461,"2026-09-21"
