"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1844,"2026-08-31"
"CDU Fraktion Hannover",835,"2026-08-31"
"SPD Stadt Hannover",3278,"2026-08-31"
"SPD Fraktion Hannover",2741,"2026-08-31"
"Grüne Stadt Hannover",4484,"2026-08-31"
"Grüne Fraktion Hannover",1382,"2026-08-31"
"Grüne Kandidat Hannover",1382,"2026-08-31"
"FDP Stadt Hannover",742,"2026-08-31"
"AfD Stadt Hannover",10601,"2026-08-31"
"AfD Fraktion Hannover",3740,"2026-08-31"
"Volt Stadt Hannover",550,"2026-08-31"
"Linke Stadt Hannover",1276,"2026-08-31"
"Linke Fraktion Hannover",817,"2026-08-31"
"Piraten Stadt Hannover",520,"2026-08-31"
"Die Hannoveraner Stadt Hannover",1314,"2026-08-31"
"Die PARTEI Stadt Hannover",5567,"2026-08-31"
"Freie Wähler Stadt Hannover",189,"2026-08-31"
"CDU Stadt Braunschweig",1079,"2026-08-31"
"CDU Fraktion Braunschweig",1324,"2026-08-31"
"SPD Stadt Braunschweig",1633,"2026-08-31"
"SPD Fraktion Braunschweig",671,"2026-08-31"
"SPD Kandidat Braunschweig",1075,"2026-08-31"
"Grüne Stadt Braunschweig",1106,"2026-08-31"
"FDP Stadt Braunschweig",861,"2026-08-31"
"AfD Fraktion Braunschweig",3188,"2026-08-31"
"Volt Stadt Braunschweig",517,"2026-08-31"
"Linke Stadt Braunschweig",1214,"2026-08-31"
"BIBS Stadt Braunschweig",NA,"2026-08-31"
"Die PARTEI Stadt Braunschweig",2455,"2026-08-31"
