"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1781,"2026-04-13"
"CDU Fraktion Hannover",817,"2026-04-13"
"SPD Stadt Hannover",3289,"2026-04-13"
"SPD Fraktion Hannover",2704,"2026-04-13"
"Grüne Stadt Hannover",3709,"2026-04-13"
"Grüne Fraktion Hannover",NA,"2026-04-13"
"Grüne Kandidat Hannover",1295,"2026-04-13"
"FDP Stadt Hannover",742,"2026-04-13"
"AfD Stadt Hannover",9179,"2026-04-13"
"AfD Fraktion Hannover",3592,"2026-04-13"
"Volt Stadt Hannover",528,"2026-04-13"
"Linke Stadt Hannover",1193,"2026-04-13"
"Linke Fraktion Hannover",807,"2026-04-13"
"Piraten Stadt Hannover",519,"2026-04-13"
"Die Hannoveraner Stadt Hannover",1191,"2026-04-13"
"Die PARTEI Stadt Hannover",5581,"2026-04-13"
"Freie Wähler Stadt Hannover",189,"2026-04-13"
"CDU Stadt Braunschweig",1067,"2026-04-13"
"CDU Fraktion Braunschweig",1296,"2026-04-13"
"SPD Stadt Braunschweig",1600,"2026-04-13"
"SPD Fraktion Braunschweig",664,"2026-04-13"
"SPD Kandidat Braunschweig",1079,"2026-04-13"
"Grüne Stadt Braunschweig",1047,"2026-04-13"
"FDP Stadt Braunschweig",866,"2026-04-13"
"AfD Fraktion Braunschweig",3177,"2026-04-13"
"Volt Stadt Braunschweig",513,"2026-04-13"
"Linke Stadt Braunschweig",1194,"2026-04-13"
"BIBS Stadt Braunschweig",NA,"2026-04-13"
"Die PARTEI Stadt Braunschweig",2462,"2026-04-13"
