"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1780,"2026-04-06"
"CDU Fraktion Hannover",815,"2026-04-06"
"SPD Stadt Hannover",3283,"2026-04-06"
"SPD Fraktion Hannover",2700,"2026-04-06"
"Grüne Stadt Hannover",3708,"2026-04-06"
"Grüne Fraktion Hannover",1293,"2026-04-06"
"Grüne Kandidat Hannover",1293,"2026-04-06"
"FDP Stadt Hannover",742,"2026-04-06"
"AfD Stadt Hannover",9181,"2026-04-06"
"AfD Fraktion Hannover",3592,"2026-04-06"
"Volt Stadt Hannover",527,"2026-04-06"
"Linke Stadt Hannover",1192,"2026-04-06"
"Linke Fraktion Hannover",807,"2026-04-06"
"Piraten Stadt Hannover",518,"2026-04-06"
"Die Hannoveraner Stadt Hannover",1192,"2026-04-06"
"Die PARTEI Stadt Hannover",5577,"2026-04-06"
"Freie Wähler Stadt Hannover",190,"2026-04-06"
"CDU Stadt Braunschweig",1067,"2026-04-06"
"CDU Fraktion Braunschweig",1296,"2026-04-06"
"SPD Stadt Braunschweig",1598,"2026-04-06"
"SPD Fraktion Braunschweig",663,"2026-04-06"
"SPD Kandidat Braunschweig",1077,"2026-04-06"
"Grüne Stadt Braunschweig",1048,"2026-04-06"
"FDP Stadt Braunschweig",865,"2026-04-06"
"AfD Fraktion Braunschweig",3178,"2026-04-06"
"Volt Stadt Braunschweig",512,"2026-04-06"
"Linke Stadt Braunschweig",1194,"2026-04-06"
"BIBS Stadt Braunschweig",NA,"2026-04-06"
"Die PARTEI Stadt Braunschweig",2455,"2026-04-06"
