"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1796,"2026-05-25"
"CDU Fraktion Hannover",816,"2026-05-25"
"SPD Stadt Hannover",3283,"2026-05-25"
"SPD Fraktion Hannover",2726,"2026-05-25"
"Grüne Stadt Hannover",3711,"2026-05-25"
"Grüne Fraktion Hannover",1315,"2026-05-25"
"Grüne Kandidat Hannover",1315,"2026-05-25"
"FDP Stadt Hannover",743,"2026-05-25"
"AfD Stadt Hannover",9252,"2026-05-25"
"AfD Fraktion Hannover",3608,"2026-05-25"
"Volt Stadt Hannover",539,"2026-05-25"
"Linke Stadt Hannover",1190,"2026-05-25"
"Linke Fraktion Hannover",808,"2026-05-25"
"Piraten Stadt Hannover",517,"2026-05-25"
"Die Hannoveraner Stadt Hannover",1194,"2026-05-25"
"Die PARTEI Stadt Hannover",5580,"2026-05-25"
"Freie Wähler Stadt Hannover",189,"2026-05-25"
"CDU Stadt Braunschweig",1067,"2026-05-25"
"CDU Fraktion Braunschweig",1297,"2026-05-25"
"SPD Stadt Braunschweig",1612,"2026-05-25"
"SPD Fraktion Braunschweig",665,"2026-05-25"
"SPD Kandidat Braunschweig",1074,"2026-05-25"
"Grüne Stadt Braunschweig",1053,"2026-05-25"
"FDP Stadt Braunschweig",865,"2026-05-25"
"AfD Fraktion Braunschweig",3190,"2026-05-25"
"Volt Stadt Braunschweig",518,"2026-05-25"
"Linke Stadt Braunschweig",1202,"2026-05-25"
"BIBS Stadt Braunschweig",NA,"2026-05-25"
"Die PARTEI Stadt Braunschweig",2465,"2026-05-25"
