"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1866,"2026-09-14",1856,"2026-09-07",10,0.54,"+10"
"CDU Fraktion Hannover",834,"2026-09-14",834,"2026-09-07",0,0,"0"
"SPD Stadt Hannover",3280,"2026-09-14",3279,"2026-09-07",1,0.03,"+1"
"SPD Fraktion Hannover",2747,"2026-09-14",NA,"2026-09-07",2747,100,"0"
"Grüne Stadt Hannover",4488,"2026-09-14",4486,"2026-09-07",2,0.04,"+2"
"Grüne Fraktion Hannover",1395,"2026-09-14",1387,"2026-09-07",8,0.58,"+8"
"Grüne Kandidat Hannover",1395,"2026-09-14",1387,"2026-09-07",8,0.58,"+8"
"FDP Stadt Hannover",741,"2026-09-14",741,"2026-09-07",0,0,"0"
"AfD Stadt Hannover",11632,"2026-09-14",11122,"2026-09-07",510,4.59,"+510"
"AfD Fraktion Hannover",3769,"2026-09-14",3743,"2026-09-07",26,0.69,"+26"
"Volt Stadt Hannover",557,"2026-09-14",549,"2026-09-07",8,1.46,"+8"
"Linke Stadt Hannover",1283,"2026-09-14",1276,"2026-09-07",7,0.55,"+7"
"Linke Fraktion Hannover",819,"2026-09-14",817,"2026-09-07",2,0.24,"+2"
"Piraten Stadt Hannover",518,"2026-09-14",519,"2026-09-07",-1,-0.19,"-1"
"Die Hannoveraner Stadt Hannover",1316,"2026-09-14",1316,"2026-09-07",0,0,"0"
"Die PARTEI Stadt Hannover",5563,"2026-09-14",5569,"2026-09-07",-6,-0.11,"-6"
"Freie Wähler Stadt Hannover",189,"2026-09-14",189,"2026-09-07",0,0,"0"
"CDU Stadt Braunschweig",1080,"2026-09-14",1079,"2026-09-07",1,0.09,"+1"
"CDU Fraktion Braunschweig",1325,"2026-09-14",1325,"2026-09-07",0,0,"0"
"SPD Stadt Braunschweig",1639,"2026-09-14",1636,"2026-09-07",3,0.18,"+3"
"SPD Fraktion Braunschweig",675,"2026-09-14",673,"2026-09-07",2,0.3,"+2"
"SPD Kandidat Braunschweig",1072,"2026-09-14",1075,"2026-09-07",-3,-0.28,"-3"
"Grüne Stadt Braunschweig",1115,"2026-09-14",1108,"2026-09-07",7,0.63,"+7"
"FDP Stadt Braunschweig",863,"2026-09-14",861,"2026-09-07",2,0.23,"+2"
"AfD Fraktion Braunschweig",3198,"2026-09-14",3190,"2026-09-07",8,0.25,"+8"
"Volt Stadt Braunschweig",516,"2026-09-14",517,"2026-09-07",-1,-0.19,"-1"
"Linke Stadt Braunschweig",1215,"2026-09-14",1214,"2026-09-07",1,0.08,"+1"
"BIBS Stadt Braunschweig",NA,"2026-09-14",NA,"2026-09-07",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2457,"2026-09-14",2453,"2026-09-07",4,0.16,"+4"
