"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1786,"2026-04-27",1785,"2026-04-20",1,0.06,"+1"
"CDU Fraktion Hannover",820,"2026-04-27",820,"2026-04-20",0,0,"0"
"SPD Stadt Hannover",3289,"2026-04-27",3289,"2026-04-20",0,0,"0"
"SPD Fraktion Hannover",2705,"2026-04-27",2706,"2026-04-20",-1,-0.04,"-1"
"Grüne Stadt Hannover",3708,"2026-04-27",3708,"2026-04-20",0,0,"0"
"Grüne Fraktion Hannover",1297,"2026-04-27",1296,"2026-04-20",1,0.08,"+1"
"Grüne Kandidat Hannover",1297,"2026-04-27",1296,"2026-04-20",1,0.08,"+1"
"FDP Stadt Hannover",742,"2026-04-27",743,"2026-04-20",-1,-0.13,"-1"
"AfD Stadt Hannover",9181,"2026-04-27",9182,"2026-04-20",-1,-0.01,"-1"
"AfD Fraktion Hannover",3597,"2026-04-27",3593,"2026-04-20",4,0.11,"+4"
"Volt Stadt Hannover",529,"2026-04-27",529,"2026-04-20",0,0,"0"
"Linke Stadt Hannover",1192,"2026-04-27",1192,"2026-04-20",0,0,"0"
"Linke Fraktion Hannover",806,"2026-04-27",807,"2026-04-20",-1,-0.12,"-1"
"Piraten Stadt Hannover",518,"2026-04-27",518,"2026-04-20",0,0,"0"
"Die Hannoveraner Stadt Hannover",1191,"2026-04-27",1191,"2026-04-20",0,0,"0"
"Die PARTEI Stadt Hannover",5581,"2026-04-27",5582,"2026-04-20",-1,-0.02,"-1"
"Freie Wähler Stadt Hannover",189,"2026-04-27",189,"2026-04-20",0,0,"0"
"CDU Stadt Braunschweig",1070,"2026-04-27",1068,"2026-04-20",2,0.19,"+2"
"CDU Fraktion Braunschweig",1298,"2026-04-27",1298,"2026-04-20",0,0,"0"
"SPD Stadt Braunschweig",1602,"2026-04-27",1601,"2026-04-20",1,0.06,"+1"
"SPD Fraktion Braunschweig",665,"2026-04-27",665,"2026-04-20",0,0,"0"
"SPD Kandidat Braunschweig",1076,"2026-04-27",1079,"2026-04-20",-3,-0.28,"-3"
"Grüne Stadt Braunschweig",1049,"2026-04-27",1048,"2026-04-20",1,0.1,"+1"
"FDP Stadt Braunschweig",865,"2026-04-27",866,"2026-04-20",-1,-0.12,"-1"
"AfD Fraktion Braunschweig",3178,"2026-04-27",3176,"2026-04-20",2,0.06,"+2"
"Volt Stadt Braunschweig",514,"2026-04-27",515,"2026-04-20",-1,-0.19,"-1"
"Linke Stadt Braunschweig",1193,"2026-04-27",1193,"2026-04-20",0,0,"0"
"BIBS Stadt Braunschweig",NA,"2026-04-27",NA,"2026-04-20",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2464,"2026-04-27",2466,"2026-04-20",-2,-0.08,"-2"
