"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1824,"2026-08-17",1825,"2026-08-10",-1,-0.05,"-1"
"CDU Fraktion Hannover",836,"2026-08-17",835,"2026-08-10",1,0.12,"+1"
"SPD Stadt Hannover",3276,"2026-08-17",3276,"2026-08-10",0,0,"0"
"SPD Fraktion Hannover",2738,"2026-08-17",2739,"2026-08-10",-1,-0.04,"-1"
"Grüne Stadt Hannover",4463,"2026-08-17",4342,"2026-08-10",121,2.79,"+121"
"Grüne Fraktion Hannover",1363,"2026-08-17",1362,"2026-08-10",1,0.07,"+1"
"Grüne Kandidat Hannover",NA,"2026-08-17",1362,"2026-08-10",NA,100,"0"
"FDP Stadt Hannover",741,"2026-08-17",741,"2026-08-10",0,0,"0"
"AfD Stadt Hannover",10016,"2026-08-17",9774,"2026-08-10",242,2.48,"+242"
"AfD Fraktion Hannover",3719,"2026-08-17",3691,"2026-08-10",28,0.76,"+28"
"Volt Stadt Hannover",545,"2026-08-17",547,"2026-08-10",-2,-0.37,"-2"
"Linke Stadt Hannover",1275,"2026-08-17",1272,"2026-08-10",3,0.24,"+3"
"Linke Fraktion Hannover",820,"2026-08-17",820,"2026-08-10",0,0,"0"
"Piraten Stadt Hannover",520,"2026-08-17",520,"2026-08-10",0,0,"0"
"Die Hannoveraner Stadt Hannover",1307,"2026-08-17",1301,"2026-08-10",6,0.46,"+6"
"Die PARTEI Stadt Hannover",5566,"2026-08-17",5567,"2026-08-10",-1,-0.02,"-1"
"Freie Wähler Stadt Hannover",189,"2026-08-17",189,"2026-08-10",0,0,"0"
"CDU Stadt Braunschweig",1075,"2026-08-17",1068,"2026-08-10",7,0.66,"+7"
"CDU Fraktion Braunschweig",1321,"2026-08-17",1319,"2026-08-10",2,0.15,"+2"
"SPD Stadt Braunschweig",1630,"2026-08-17",1630,"2026-08-10",0,0,"0"
"SPD Fraktion Braunschweig",669,"2026-08-17",NA,"2026-08-10",669,100,"0"
"SPD Kandidat Braunschweig",1076,"2026-08-17",1077,"2026-08-10",-1,-0.09,"-1"
"Grüne Stadt Braunschweig",1100,"2026-08-17",1098,"2026-08-10",2,0.18,"+2"
"FDP Stadt Braunschweig",860,"2026-08-17",860,"2026-08-10",0,0,"0"
"AfD Fraktion Braunschweig",3189,"2026-08-17",3184,"2026-08-10",5,0.16,"+5"
"Volt Stadt Braunschweig",515,"2026-08-17",516,"2026-08-10",-1,-0.19,"-1"
"Linke Stadt Braunschweig",1214,"2026-08-17",1213,"2026-08-10",1,0.08,"+1"
"BIBS Stadt Braunschweig",NA,"2026-08-17",NA,"2026-08-10",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2452,"2026-08-17",2455,"2026-08-10",-3,-0.12,"-3"
