"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1804,"2026-06-29",1801,"2026-06-22",3,0.17,"+3"
"CDU Fraktion Hannover",820,"2026-06-29",819,"2026-06-22",1,0.12,"+1"
"SPD Stadt Hannover",3279,"2026-06-29",3281,"2026-06-22",-2,-0.06,"-2"
"SPD Fraktion Hannover",2739,"2026-06-29",2738,"2026-06-22",1,0.04,"+1"
"Grüne Stadt Hannover",NA,"2026-06-29",3709,"2026-06-22",NA,100,"0"
"Grüne Fraktion Hannover",1327,"2026-06-29",1326,"2026-06-22",1,0.08,"+1"
"Grüne Kandidat Hannover",1327,"2026-06-29",1326,"2026-06-22",1,0.08,"+1"
"FDP Stadt Hannover",744,"2026-06-29",744,"2026-06-22",0,0,"0"
"AfD Stadt Hannover",9257,"2026-06-29",9247,"2026-06-22",10,0.11,"+10"
"AfD Fraktion Hannover",3660,"2026-06-29",3660,"2026-06-22",0,0,"0"
"Volt Stadt Hannover",540,"2026-06-29",540,"2026-06-22",0,0,"0"
"Linke Stadt Hannover",1191,"2026-06-29",1192,"2026-06-22",-1,-0.08,"-1"
"Linke Fraktion Hannover",815,"2026-06-29",815,"2026-06-22",0,0,"0"
"Piraten Stadt Hannover",520,"2026-06-29",519,"2026-06-22",1,0.19,"+1"
"Die Hannoveraner Stadt Hannover",1218,"2026-06-29",1206,"2026-06-22",12,1,"+12"
"Die PARTEI Stadt Hannover",5578,"2026-06-29",5581,"2026-06-22",-3,-0.05,"-3"
"Freie Wähler Stadt Hannover",189,"2026-06-29",189,"2026-06-22",0,0,"0"
"CDU Stadt Braunschweig",1066,"2026-06-29",1065,"2026-06-22",1,0.09,"+1"
"CDU Fraktion Braunschweig",1312,"2026-06-29",1308,"2026-06-22",4,0.31,"+4"
"SPD Stadt Braunschweig",1630,"2026-06-29",1628,"2026-06-22",2,0.12,"+2"
"SPD Fraktion Braunschweig",665,"2026-06-29",665,"2026-06-22",0,0,"0"
"SPD Kandidat Braunschweig",1075,"2026-06-29",1075,"2026-06-22",0,0,"0"
"Grüne Stadt Braunschweig",1055,"2026-06-29",1056,"2026-06-22",-1,-0.09,"-1"
"FDP Stadt Braunschweig",861,"2026-06-29",862,"2026-06-22",-1,-0.12,"-1"
"AfD Fraktion Braunschweig",3187,"2026-06-29",3187,"2026-06-22",0,0,"0"
"Volt Stadt Braunschweig",518,"2026-06-29",518,"2026-06-22",0,0,"0"
"Linke Stadt Braunschweig",1207,"2026-06-29",1204,"2026-06-22",3,0.25,"+3"
"BIBS Stadt Braunschweig",NA,"2026-06-29",NA,"2026-06-22",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2459,"2026-06-29",2460,"2026-06-22",-1,-0.04,"-1"
