"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1844,"2026-08-31",1836,"2026-08-24",8,0.44,"+8"
"CDU Fraktion Hannover",835,"2026-08-31",835,"2026-08-24",0,0,"0"
"SPD Stadt Hannover",3278,"2026-08-31",3277,"2026-08-24",1,0.03,"+1"
"SPD Fraktion Hannover",2741,"2026-08-31",2740,"2026-08-24",1,0.04,"+1"
"Grüne Stadt Hannover",4484,"2026-08-31",4481,"2026-08-24",3,0.07,"+3"
"Grüne Fraktion Hannover",1382,"2026-08-31",1369,"2026-08-24",13,0.95,"+13"
"Grüne Kandidat Hannover",1382,"2026-08-31",1369,"2026-08-24",13,0.95,"+13"
"FDP Stadt Hannover",742,"2026-08-31",741,"2026-08-24",1,0.13,"+1"
"AfD Stadt Hannover",10601,"2026-08-31",10436,"2026-08-24",165,1.58,"+165"
"AfD Fraktion Hannover",3740,"2026-08-31",3736,"2026-08-24",4,0.11,"+4"
"Volt Stadt Hannover",550,"2026-08-31",547,"2026-08-24",3,0.55,"+3"
"Linke Stadt Hannover",1276,"2026-08-31",1277,"2026-08-24",-1,-0.08,"-1"
"Linke Fraktion Hannover",817,"2026-08-31",820,"2026-08-24",-3,-0.37,"-3"
"Piraten Stadt Hannover",520,"2026-08-31",520,"2026-08-24",0,0,"0"
"Die Hannoveraner Stadt Hannover",1314,"2026-08-31",1310,"2026-08-24",4,0.31,"+4"
"Die PARTEI Stadt Hannover",5567,"2026-08-31",5567,"2026-08-24",0,0,"0"
"Freie Wähler Stadt Hannover",189,"2026-08-31",189,"2026-08-24",0,0,"0"
"CDU Stadt Braunschweig",1079,"2026-08-31",1079,"2026-08-24",0,0,"0"
"CDU Fraktion Braunschweig",1324,"2026-08-31",1323,"2026-08-24",1,0.08,"+1"
"SPD Stadt Braunschweig",1633,"2026-08-31",1630,"2026-08-24",3,0.18,"+3"
"SPD Fraktion Braunschweig",671,"2026-08-31",670,"2026-08-24",1,0.15,"+1"
"SPD Kandidat Braunschweig",1075,"2026-08-31",1076,"2026-08-24",-1,-0.09,"-1"
"Grüne Stadt Braunschweig",1106,"2026-08-31",1103,"2026-08-24",3,0.27,"+3"
"FDP Stadt Braunschweig",861,"2026-08-31",861,"2026-08-24",0,0,"0"
"AfD Fraktion Braunschweig",3188,"2026-08-31",3186,"2026-08-24",2,0.06,"+2"
"Volt Stadt Braunschweig",517,"2026-08-31",516,"2026-08-24",1,0.19,"+1"
"Linke Stadt Braunschweig",1214,"2026-08-31",1216,"2026-08-24",-2,-0.16,"-2"
"BIBS Stadt Braunschweig",NA,"2026-08-31",NA,"2026-08-24",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2455,"2026-08-31",2455,"2026-08-24",0,0,"0"
