"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1788,"2026-05-18",1788,"2026-05-11",0,0,"0"
"CDU Fraktion Hannover",817,"2026-05-18",818,"2026-05-11",-1,-0.12,"-1"
"SPD Stadt Hannover",3285,"2026-05-18",3285,"2026-05-11",0,0,"0"
"SPD Fraktion Hannover",2712,"2026-05-18",2704,"2026-05-11",8,0.3,"+8"
"Grüne Stadt Hannover",3711,"2026-05-18",3709,"2026-05-11",2,0.05,"+2"
"Grüne Fraktion Hannover",1308,"2026-05-18",1305,"2026-05-11",3,0.23,"+3"
"Grüne Kandidat Hannover",1308,"2026-05-18",1305,"2026-05-11",3,0.23,"+3"
"FDP Stadt Hannover",744,"2026-05-18",743,"2026-05-11",1,0.13,"+1"
"AfD Stadt Hannover",9208,"2026-05-18",9199,"2026-05-11",9,0.1,"+9"
"AfD Fraktion Hannover",3603,"2026-05-18",3602,"2026-05-11",1,0.03,"+1"
"Volt Stadt Hannover",538,"2026-05-18",532,"2026-05-11",6,1.13,"+6"
"Linke Stadt Hannover",1192,"2026-05-18",1191,"2026-05-11",1,0.08,"+1"
"Linke Fraktion Hannover",807,"2026-05-18",806,"2026-05-11",1,0.12,"+1"
"Piraten Stadt Hannover",518,"2026-05-18",519,"2026-05-11",-1,-0.19,"-1"
"Die Hannoveraner Stadt Hannover",1191,"2026-05-18",1191,"2026-05-11",0,0,"0"
"Die PARTEI Stadt Hannover",5583,"2026-05-18",5585,"2026-05-11",-2,-0.04,"-2"
"Freie Wähler Stadt Hannover",189,"2026-05-18",189,"2026-05-11",0,0,"0"
"CDU Stadt Braunschweig",1068,"2026-05-18",1066,"2026-05-11",2,0.19,"+2"
"CDU Fraktion Braunschweig",1297,"2026-05-18",1299,"2026-05-11",-2,-0.15,"-2"
"SPD Stadt Braunschweig",1611,"2026-05-18",1608,"2026-05-11",3,0.19,"+3"
"SPD Fraktion Braunschweig",665,"2026-05-18",664,"2026-05-11",1,0.15,"+1"
"SPD Kandidat Braunschweig",1074,"2026-05-18",1075,"2026-05-11",-1,-0.09,"-1"
"Grüne Stadt Braunschweig",1050,"2026-05-18",1050,"2026-05-11",0,0,"0"
"FDP Stadt Braunschweig",NA,"2026-05-18",864,"2026-05-11",NA,100,"0"
"AfD Fraktion Braunschweig",3182,"2026-05-18",3173,"2026-05-11",9,0.28,"+9"
"Volt Stadt Braunschweig",518,"2026-05-18",517,"2026-05-11",1,0.19,"+1"
"Linke Stadt Braunschweig",1199,"2026-05-18",1194,"2026-05-11",5,0.42,"+5"
"BIBS Stadt Braunschweig",NA,"2026-05-18",NA,"2026-05-11",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2466,"2026-05-18",2464,"2026-05-11",2,0.08,"+2"
