"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1795,"2026-06-08",1800,"2026-06-01",-5,-0.28,"-5"
"CDU Fraktion Hannover",817,"2026-06-08",817,"2026-06-01",0,0,"0"
"SPD Stadt Hannover",3280,"2026-06-08",3282,"2026-06-01",-2,-0.06,"-2"
"SPD Fraktion Hannover",2727,"2026-06-08",2724,"2026-06-01",3,0.11,"+3"
"Grüne Stadt Hannover",3708,"2026-06-08",3711,"2026-06-01",-3,-0.08,"-3"
"Grüne Fraktion Hannover",1323,"2026-06-08",1321,"2026-06-01",2,0.15,"+2"
"Grüne Kandidat Hannover",1323,"2026-06-08",1321,"2026-06-01",2,0.15,"+2"
"FDP Stadt Hannover",744,"2026-06-08",744,"2026-06-01",0,0,"0"
"AfD Stadt Hannover",9260,"2026-06-08",9268,"2026-06-01",-8,-0.09,"-8"
"AfD Fraktion Hannover",3648,"2026-06-08",3646,"2026-06-01",2,0.05,"+2"
"Volt Stadt Hannover",540,"2026-06-08",541,"2026-06-01",-1,-0.18,"-1"
"Linke Stadt Hannover",1188,"2026-06-08",1189,"2026-06-01",-1,-0.08,"-1"
"Linke Fraktion Hannover",809,"2026-06-08",807,"2026-06-01",2,0.25,"+2"
"Piraten Stadt Hannover",518,"2026-06-08",518,"2026-06-01",0,0,"0"
"Die Hannoveraner Stadt Hannover",1198,"2026-06-08",1195,"2026-06-01",3,0.25,"+3"
"Die PARTEI Stadt Hannover",5586,"2026-06-08",5585,"2026-06-01",1,0.02,"+1"
"Freie Wähler Stadt Hannover",189,"2026-06-08",189,"2026-06-01",0,0,"0"
"CDU Stadt Braunschweig",1066,"2026-06-08",1068,"2026-06-01",-2,-0.19,"-2"
"CDU Fraktion Braunschweig",1303,"2026-06-08",1301,"2026-06-01",2,0.15,"+2"
"SPD Stadt Braunschweig",1622,"2026-06-08",1620,"2026-06-01",2,0.12,"+2"
"SPD Fraktion Braunschweig",666,"2026-06-08",665,"2026-06-01",1,0.15,"+1"
"SPD Kandidat Braunschweig",1074,"2026-06-08",1074,"2026-06-01",0,0,"0"
"Grüne Stadt Braunschweig",1055,"2026-06-08",1055,"2026-06-01",0,0,"0"
"FDP Stadt Braunschweig",864,"2026-06-08",NA,"2026-06-01",864,100,"0"
"AfD Fraktion Braunschweig",3191,"2026-06-08",3189,"2026-06-01",2,0.06,"+2"
"Volt Stadt Braunschweig",518,"2026-06-08",518,"2026-06-01",0,0,"0"
"Linke Stadt Braunschweig",1202,"2026-06-08",1200,"2026-06-01",2,0.17,"+2"
"BIBS Stadt Braunschweig",NA,"2026-06-08",NA,"2026-06-01",NA,100,"0"
"Die PARTEI Stadt Braunschweig",NA,"2026-06-08",2464,"2026-06-01",NA,100,"0"
