"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1800,"2026-06-01",1796,"2026-05-25",4,0.22,"+4"
"CDU Fraktion Hannover",817,"2026-06-01",816,"2026-05-25",1,0.12,"+1"
"SPD Stadt Hannover",3282,"2026-06-01",3283,"2026-05-25",-1,-0.03,"-1"
"SPD Fraktion Hannover",2724,"2026-06-01",2726,"2026-05-25",-2,-0.07,"-2"
"Grüne Stadt Hannover",3711,"2026-06-01",3711,"2026-05-25",0,0,"0"
"Grüne Fraktion Hannover",1321,"2026-06-01",1315,"2026-05-25",6,0.46,"+6"
"Grüne Kandidat Hannover",1321,"2026-06-01",1315,"2026-05-25",6,0.46,"+6"
"FDP Stadt Hannover",744,"2026-06-01",743,"2026-05-25",1,0.13,"+1"
"AfD Stadt Hannover",9268,"2026-06-01",9252,"2026-05-25",16,0.17,"+16"
"AfD Fraktion Hannover",3646,"2026-06-01",3608,"2026-05-25",38,1.05,"+38"
"Volt Stadt Hannover",541,"2026-06-01",539,"2026-05-25",2,0.37,"+2"
"Linke Stadt Hannover",1189,"2026-06-01",1190,"2026-05-25",-1,-0.08,"-1"
"Linke Fraktion Hannover",807,"2026-06-01",808,"2026-05-25",-1,-0.12,"-1"
"Piraten Stadt Hannover",518,"2026-06-01",517,"2026-05-25",1,0.19,"+1"
"Die Hannoveraner Stadt Hannover",1195,"2026-06-01",1194,"2026-05-25",1,0.08,"+1"
"Die PARTEI Stadt Hannover",5585,"2026-06-01",5580,"2026-05-25",5,0.09,"+5"
"Freie Wähler Stadt Hannover",189,"2026-06-01",189,"2026-05-25",0,0,"0"
"CDU Stadt Braunschweig",1068,"2026-06-01",1067,"2026-05-25",1,0.09,"+1"
"CDU Fraktion Braunschweig",1301,"2026-06-01",1297,"2026-05-25",4,0.31,"+4"
"SPD Stadt Braunschweig",1620,"2026-06-01",1612,"2026-05-25",8,0.5,"+8"
"SPD Fraktion Braunschweig",665,"2026-06-01",665,"2026-05-25",0,0,"0"
"SPD Kandidat Braunschweig",1074,"2026-06-01",1074,"2026-05-25",0,0,"0"
"Grüne Stadt Braunschweig",1055,"2026-06-01",1053,"2026-05-25",2,0.19,"+2"
"FDP Stadt Braunschweig",NA,"2026-06-01",865,"2026-05-25",NA,100,"0"
"AfD Fraktion Braunschweig",3189,"2026-06-01",3190,"2026-05-25",-1,-0.03,"-1"
"Volt Stadt Braunschweig",518,"2026-06-01",518,"2026-05-25",0,0,"0"
"Linke Stadt Braunschweig",1200,"2026-06-01",1202,"2026-05-25",-2,-0.17,"-2"
"BIBS Stadt Braunschweig",NA,"2026-06-01",NA,"2026-05-25",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2464,"2026-06-01",2465,"2026-05-25",-1,-0.04,"-1"
