"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1801,"2026-06-22",1796,"2026-06-15",5,0.28,"+5"
"CDU Fraktion Hannover",819,"2026-06-22",818,"2026-06-15",1,0.12,"+1"
"SPD Stadt Hannover",3281,"2026-06-22",3279,"2026-06-15",2,0.06,"+2"
"SPD Fraktion Hannover",2738,"2026-06-22",2735,"2026-06-15",3,0.11,"+3"
"Grüne Stadt Hannover",3709,"2026-06-22",NA,"2026-06-15",3709,100,"0"
"Grüne Fraktion Hannover",1326,"2026-06-22",1324,"2026-06-15",2,0.15,"+2"
"Grüne Kandidat Hannover",1326,"2026-06-22",1324,"2026-06-15",2,0.15,"+2"
"FDP Stadt Hannover",744,"2026-06-22",744,"2026-06-15",0,0,"0"
"AfD Stadt Hannover",9247,"2026-06-22",9257,"2026-06-15",-10,-0.11,"-10"
"AfD Fraktion Hannover",3660,"2026-06-22",3669,"2026-06-15",-9,-0.25,"-9"
"Volt Stadt Hannover",540,"2026-06-22",540,"2026-06-15",0,0,"0"
"Linke Stadt Hannover",1192,"2026-06-22",1189,"2026-06-15",3,0.25,"+3"
"Linke Fraktion Hannover",815,"2026-06-22",809,"2026-06-15",6,0.74,"+6"
"Piraten Stadt Hannover",519,"2026-06-22",519,"2026-06-15",0,0,"0"
"Die Hannoveraner Stadt Hannover",1206,"2026-06-22",1205,"2026-06-15",1,0.08,"+1"
"Die PARTEI Stadt Hannover",5581,"2026-06-22",5579,"2026-06-15",2,0.04,"+2"
"Freie Wähler Stadt Hannover",189,"2026-06-22",189,"2026-06-15",0,0,"0"
"CDU Stadt Braunschweig",1065,"2026-06-22",1066,"2026-06-15",-1,-0.09,"-1"
"CDU Fraktion Braunschweig",1308,"2026-06-22",1305,"2026-06-15",3,0.23,"+3"
"SPD Stadt Braunschweig",1628,"2026-06-22",1628,"2026-06-15",0,0,"0"
"SPD Fraktion Braunschweig",665,"2026-06-22",665,"2026-06-15",0,0,"0"
"SPD Kandidat Braunschweig",1075,"2026-06-22",1073,"2026-06-15",2,0.19,"+2"
"Grüne Stadt Braunschweig",1056,"2026-06-22",1056,"2026-06-15",0,0,"0"
"FDP Stadt Braunschweig",862,"2026-06-22",863,"2026-06-15",-1,-0.12,"-1"
"AfD Fraktion Braunschweig",3187,"2026-06-22",3191,"2026-06-15",-4,-0.13,"-4"
"Volt Stadt Braunschweig",518,"2026-06-22",518,"2026-06-15",0,0,"0"
"Linke Stadt Braunschweig",1204,"2026-06-22",1204,"2026-06-15",0,0,"0"
"BIBS Stadt Braunschweig",NA,"2026-06-22",NA,"2026-06-15",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2460,"2026-06-22",2460,"2026-06-15",0,0,"0"
