"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1836,"2026-08-24",1824,"2026-08-17",12,0.66,"+12"
"CDU Fraktion Hannover",835,"2026-08-24",836,"2026-08-17",-1,-0.12,"-1"
"SPD Stadt Hannover",3277,"2026-08-24",3276,"2026-08-17",1,0.03,"+1"
"SPD Fraktion Hannover",2740,"2026-08-24",2738,"2026-08-17",2,0.07,"+2"
"Grüne Stadt Hannover",4481,"2026-08-24",4463,"2026-08-17",18,0.4,"+18"
"Grüne Fraktion Hannover",1369,"2026-08-24",1363,"2026-08-17",6,0.44,"+6"
"Grüne Kandidat Hannover",1369,"2026-08-24",NA,"2026-08-17",1369,100,"0"
"FDP Stadt Hannover",741,"2026-08-24",741,"2026-08-17",0,0,"0"
"AfD Stadt Hannover",10436,"2026-08-24",10016,"2026-08-17",420,4.19,"+420"
"AfD Fraktion Hannover",3736,"2026-08-24",3719,"2026-08-17",17,0.46,"+17"
"Volt Stadt Hannover",547,"2026-08-24",545,"2026-08-17",2,0.37,"+2"
"Linke Stadt Hannover",1277,"2026-08-24",1275,"2026-08-17",2,0.16,"+2"
"Linke Fraktion Hannover",820,"2026-08-24",820,"2026-08-17",0,0,"0"
"Piraten Stadt Hannover",520,"2026-08-24",520,"2026-08-17",0,0,"0"
"Die Hannoveraner Stadt Hannover",1310,"2026-08-24",1307,"2026-08-17",3,0.23,"+3"
"Die PARTEI Stadt Hannover",5567,"2026-08-24",5566,"2026-08-17",1,0.02,"+1"
"Freie Wähler Stadt Hannover",189,"2026-08-24",189,"2026-08-17",0,0,"0"
"CDU Stadt Braunschweig",1079,"2026-08-24",1075,"2026-08-17",4,0.37,"+4"
"CDU Fraktion Braunschweig",1323,"2026-08-24",1321,"2026-08-17",2,0.15,"+2"
"SPD Stadt Braunschweig",1630,"2026-08-24",1630,"2026-08-17",0,0,"0"
"SPD Fraktion Braunschweig",670,"2026-08-24",669,"2026-08-17",1,0.15,"+1"
"SPD Kandidat Braunschweig",1076,"2026-08-24",1076,"2026-08-17",0,0,"0"
"Grüne Stadt Braunschweig",1103,"2026-08-24",1100,"2026-08-17",3,0.27,"+3"
"FDP Stadt Braunschweig",861,"2026-08-24",860,"2026-08-17",1,0.12,"+1"
"AfD Fraktion Braunschweig",3186,"2026-08-24",3189,"2026-08-17",-3,-0.09,"-3"
"Volt Stadt Braunschweig",516,"2026-08-24",515,"2026-08-17",1,0.19,"+1"
"Linke Stadt Braunschweig",1216,"2026-08-24",1214,"2026-08-17",2,0.16,"+2"
"BIBS Stadt Braunschweig",NA,"2026-08-24",NA,"2026-08-17",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2455,"2026-08-24",2452,"2026-08-17",3,0.12,"+3"
