"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1856,"2026-09-07",1844,"2026-08-31",12,0.65,"+12"
"CDU Fraktion Hannover",834,"2026-09-07",835,"2026-08-31",-1,-0.12,"-1"
"SPD Stadt Hannover",3279,"2026-09-07",3278,"2026-08-31",1,0.03,"+1"
"SPD Fraktion Hannover",NA,"2026-09-07",2741,"2026-08-31",NA,100,"0"
"Grüne Stadt Hannover",4486,"2026-09-07",4484,"2026-08-31",2,0.04,"+2"
"Grüne Fraktion Hannover",1387,"2026-09-07",1382,"2026-08-31",5,0.36,"+5"
"Grüne Kandidat Hannover",1387,"2026-09-07",1382,"2026-08-31",5,0.36,"+5"
"FDP Stadt Hannover",741,"2026-09-07",742,"2026-08-31",-1,-0.13,"-1"
"AfD Stadt Hannover",11122,"2026-09-07",10601,"2026-08-31",521,4.91,"+521"
"AfD Fraktion Hannover",3743,"2026-09-07",3740,"2026-08-31",3,0.08,"+3"
"Volt Stadt Hannover",549,"2026-09-07",550,"2026-08-31",-1,-0.18,"-1"
"Linke Stadt Hannover",1276,"2026-09-07",1276,"2026-08-31",0,0,"0"
"Linke Fraktion Hannover",817,"2026-09-07",817,"2026-08-31",0,0,"0"
"Piraten Stadt Hannover",519,"2026-09-07",520,"2026-08-31",-1,-0.19,"-1"
"Die Hannoveraner Stadt Hannover",1316,"2026-09-07",1314,"2026-08-31",2,0.15,"+2"
"Die PARTEI Stadt Hannover",5569,"2026-09-07",5567,"2026-08-31",2,0.04,"+2"
"Freie Wähler Stadt Hannover",189,"2026-09-07",189,"2026-08-31",0,0,"0"
"CDU Stadt Braunschweig",1079,"2026-09-07",1079,"2026-08-31",0,0,"0"
"CDU Fraktion Braunschweig",1325,"2026-09-07",1324,"2026-08-31",1,0.08,"+1"
"SPD Stadt Braunschweig",1636,"2026-09-07",1633,"2026-08-31",3,0.18,"+3"
"SPD Fraktion Braunschweig",673,"2026-09-07",671,"2026-08-31",2,0.3,"+2"
"SPD Kandidat Braunschweig",1075,"2026-09-07",1075,"2026-08-31",0,0,"0"
"Grüne Stadt Braunschweig",1108,"2026-09-07",1106,"2026-08-31",2,0.18,"+2"
"FDP Stadt Braunschweig",861,"2026-09-07",861,"2026-08-31",0,0,"0"
"AfD Fraktion Braunschweig",3190,"2026-09-07",3188,"2026-08-31",2,0.06,"+2"
"Volt Stadt Braunschweig",517,"2026-09-07",517,"2026-08-31",0,0,"0"
"Linke Stadt Braunschweig",1214,"2026-09-07",1214,"2026-08-31",0,0,"0"
"BIBS Stadt Braunschweig",NA,"2026-09-07",NA,"2026-08-31",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2453,"2026-09-07",2455,"2026-08-31",-2,-0.08,"-2"
