"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1781,"2026-03-30",1780,"2026-03-25",1,0.06,"+1"
"CDU Fraktion Hannover",814,"2026-03-30",814,"2026-03-25",0,0,"0"
"SPD Stadt Hannover",3282,"2026-03-30",3280,"2026-03-25",2,0.06,"+2"
"SPD Fraktion Hannover",2697,"2026-03-30",2696,"2026-03-25",1,0.04,"+1"
"Grüne Stadt Hannover",3708,"2026-03-30",3705,"2026-03-25",3,0.08,"+3"
"Grüne Fraktion Hannover",1292,"2026-03-30",1295,"2026-03-25",-3,-0.23,"-3"
"Grüne Kandidat Hannover",1292,"2026-03-30",1295,"2026-03-25",-3,-0.23,"-3"
"FDP Stadt Hannover",743,"2026-03-30",743,"2026-03-25",0,0,"0"
"AfD Stadt Hannover",9184,"2026-03-30",9190,"2026-03-25",-6,-0.07,"-6"
"AfD Fraktion Hannover",3590,"2026-03-30",3593,"2026-03-25",-3,-0.08,"-3"
"Volt Stadt Hannover",527,"2026-03-30",526,"2026-03-25",1,0.19,"+1"
"Linke Stadt Hannover",1192,"2026-03-30",NA,"2026-03-25",1192,100,"0"
"Linke Fraktion Hannover",805,"2026-03-30",805,"2026-03-25",0,0,"0"
"Piraten Stadt Hannover",518,"2026-03-30",518,"2026-03-25",0,0,"0"
"Die Hannoveraner Stadt Hannover",NA,"2026-03-30",1175,"2026-03-25",NA,100,"0"
"Die PARTEI Stadt Hannover",5581,"2026-03-30",5583,"2026-03-25",-2,-0.04,"-2"
"Freie Wähler Stadt Hannover",191,"2026-03-30",191,"2026-03-25",0,0,"0"
