"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1781,"2026-04-13",1780,"2026-04-06",1,0.06,"+1"
"CDU Fraktion Hannover",817,"2026-04-13",815,"2026-04-06",2,0.25,"+2"
"SPD Stadt Hannover",3289,"2026-04-13",3283,"2026-04-06",6,0.18,"+6"
"SPD Fraktion Hannover",2704,"2026-04-13",2700,"2026-04-06",4,0.15,"+4"
"Grüne Stadt Hannover",3709,"2026-04-13",3708,"2026-04-06",1,0.03,"+1"
"Grüne Fraktion Hannover",NA,"2026-04-13",1293,"2026-04-06",NA,100,"0"
"Grüne Kandidat Hannover",1295,"2026-04-13",1293,"2026-04-06",2,0.15,"+2"
"FDP Stadt Hannover",742,"2026-04-13",742,"2026-04-06",0,0,"0"
"AfD Stadt Hannover",9179,"2026-04-13",9181,"2026-04-06",-2,-0.02,"-2"
"AfD Fraktion Hannover",3592,"2026-04-13",3592,"2026-04-06",0,0,"0"
"Volt Stadt Hannover",528,"2026-04-13",527,"2026-04-06",1,0.19,"+1"
"Linke Stadt Hannover",1193,"2026-04-13",1192,"2026-04-06",1,0.08,"+1"
"Linke Fraktion Hannover",807,"2026-04-13",807,"2026-04-06",0,0,"0"
"Piraten Stadt Hannover",519,"2026-04-13",518,"2026-04-06",1,0.19,"+1"
"Die Hannoveraner Stadt Hannover",1191,"2026-04-13",1192,"2026-04-06",-1,-0.08,"-1"
"Die PARTEI Stadt Hannover",5581,"2026-04-13",5577,"2026-04-06",4,0.07,"+4"
"Freie Wähler Stadt Hannover",189,"2026-04-13",190,"2026-04-06",-1,-0.53,"-1"
"CDU Stadt Braunschweig",1067,"2026-04-13",1067,"2026-04-06",0,0,"0"
"CDU Fraktion Braunschweig",1296,"2026-04-13",1296,"2026-04-06",0,0,"0"
"SPD Stadt Braunschweig",1600,"2026-04-13",1598,"2026-04-06",2,0.13,"+2"
"SPD Fraktion Braunschweig",664,"2026-04-13",663,"2026-04-06",1,0.15,"+1"
"SPD Kandidat Braunschweig",1079,"2026-04-13",1077,"2026-04-06",2,0.19,"+2"
"Grüne Stadt Braunschweig",1047,"2026-04-13",1048,"2026-04-06",-1,-0.1,"-1"
"FDP Stadt Braunschweig",866,"2026-04-13",865,"2026-04-06",1,0.12,"+1"
"AfD Fraktion Braunschweig",3177,"2026-04-13",3178,"2026-04-06",-1,-0.03,"-1"
"Volt Stadt Braunschweig",513,"2026-04-13",512,"2026-04-06",1,0.2,"+1"
"Linke Stadt Braunschweig",1194,"2026-04-13",1194,"2026-04-06",0,0,"0"
"BIBS Stadt Braunschweig",NA,"2026-04-13",NA,"2026-04-06",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2462,"2026-04-13",2455,"2026-04-06",7,0.29,"+7"
