"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1810,"2026-07-06",1804,"2026-06-29",6,0.33,"+6"
"CDU Fraktion Hannover",832,"2026-07-06",820,"2026-06-29",12,1.46,"+12"
"SPD Stadt Hannover",3277,"2026-07-06",3279,"2026-06-29",-2,-0.06,"-2"
"SPD Fraktion Hannover",2739,"2026-07-06",2739,"2026-06-29",0,0,"0"
"Grüne Stadt Hannover",3726,"2026-07-06",NA,"2026-06-29",3726,100,"0"
"Grüne Fraktion Hannover",1329,"2026-07-06",1327,"2026-06-29",2,0.15,"+2"
"Grüne Kandidat Hannover",1329,"2026-07-06",1327,"2026-06-29",2,0.15,"+2"
"FDP Stadt Hannover",744,"2026-07-06",744,"2026-06-29",0,0,"0"
"AfD Stadt Hannover",9259,"2026-07-06",9257,"2026-06-29",2,0.02,"+2"
"AfD Fraktion Hannover",3661,"2026-07-06",3660,"2026-06-29",1,0.03,"+1"
"Volt Stadt Hannover",542,"2026-07-06",540,"2026-06-29",2,0.37,"+2"
"Linke Stadt Hannover",1196,"2026-07-06",1191,"2026-06-29",5,0.42,"+5"
"Linke Fraktion Hannover",816,"2026-07-06",815,"2026-06-29",1,0.12,"+1"
"Piraten Stadt Hannover",520,"2026-07-06",520,"2026-06-29",0,0,"0"
"Die Hannoveraner Stadt Hannover",1218,"2026-07-06",1218,"2026-06-29",0,0,"0"
"Die PARTEI Stadt Hannover",5576,"2026-07-06",5578,"2026-06-29",-2,-0.04,"-2"
"Freie Wähler Stadt Hannover",189,"2026-07-06",189,"2026-06-29",0,0,"0"
"CDU Stadt Braunschweig",1067,"2026-07-06",1066,"2026-06-29",1,0.09,"+1"
"CDU Fraktion Braunschweig",1312,"2026-07-06",1312,"2026-06-29",0,0,"0"
"SPD Stadt Braunschweig",1630,"2026-07-06",1630,"2026-06-29",0,0,"0"
"SPD Fraktion Braunschweig",666,"2026-07-06",665,"2026-06-29",1,0.15,"+1"
"SPD Kandidat Braunschweig",1075,"2026-07-06",1075,"2026-06-29",0,0,"0"
"Grüne Stadt Braunschweig",1073,"2026-07-06",1055,"2026-06-29",18,1.71,"+18"
"FDP Stadt Braunschweig",861,"2026-07-06",861,"2026-06-29",0,0,"0"
"AfD Fraktion Braunschweig",3187,"2026-07-06",3187,"2026-06-29",0,0,"0"
"Volt Stadt Braunschweig",518,"2026-07-06",518,"2026-06-29",0,0,"0"
"Linke Stadt Braunschweig",1209,"2026-07-06",1207,"2026-06-29",2,0.17,"+2"
"BIBS Stadt Braunschweig",NA,"2026-07-06",NA,"2026-06-29",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2459,"2026-07-06",2459,"2026-06-29",0,0,"0"
