"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1825,"2026-08-10",1822,"2026-08-03",3,0.16,"+3"
"CDU Fraktion Hannover",835,"2026-08-10",832,"2026-08-03",3,0.36,"+3"
"SPD Stadt Hannover",3276,"2026-08-10",3276,"2026-08-03",0,0,"0"
"SPD Fraktion Hannover",2739,"2026-08-10",2738,"2026-08-03",1,0.04,"+1"
"Grüne Stadt Hannover",4342,"2026-08-10",4290,"2026-08-03",52,1.21,"+52"
"Grüne Fraktion Hannover",1362,"2026-08-10",1340,"2026-08-03",22,1.64,"+22"
"Grüne Kandidat Hannover",1362,"2026-08-10",1340,"2026-08-03",22,1.64,"+22"
"FDP Stadt Hannover",741,"2026-08-10",740,"2026-08-03",1,0.14,"+1"
"AfD Stadt Hannover",9774,"2026-08-10",9700,"2026-08-03",74,0.76,"+74"
"AfD Fraktion Hannover",3691,"2026-08-10",3693,"2026-08-03",-2,-0.05,"-2"
"Volt Stadt Hannover",547,"2026-08-10",545,"2026-08-03",2,0.37,"+2"
"Linke Stadt Hannover",1272,"2026-08-10",1246,"2026-08-03",26,2.09,"+26"
"Linke Fraktion Hannover",820,"2026-08-10",818,"2026-08-03",2,0.24,"+2"
"Piraten Stadt Hannover",520,"2026-08-10",520,"2026-08-03",0,0,"0"
"Die Hannoveraner Stadt Hannover",1301,"2026-08-10",1280,"2026-08-03",21,1.64,"+21"
"Die PARTEI Stadt Hannover",5567,"2026-08-10",5567,"2026-08-03",0,0,"0"
"Freie Wähler Stadt Hannover",189,"2026-08-10",189,"2026-08-03",0,0,"0"
"CDU Stadt Braunschweig",1068,"2026-08-10",1069,"2026-08-03",-1,-0.09,"-1"
"CDU Fraktion Braunschweig",1319,"2026-08-10",1317,"2026-08-03",2,0.15,"+2"
"SPD Stadt Braunschweig",1630,"2026-08-10",1631,"2026-08-03",-1,-0.06,"-1"
"SPD Fraktion Braunschweig",NA,"2026-08-10",669,"2026-08-03",NA,100,"0"
"SPD Kandidat Braunschweig",1077,"2026-08-10",1078,"2026-08-03",-1,-0.09,"-1"
"Grüne Stadt Braunschweig",1098,"2026-08-10",1093,"2026-08-03",5,0.46,"+5"
"FDP Stadt Braunschweig",860,"2026-08-10",860,"2026-08-03",0,0,"0"
"AfD Fraktion Braunschweig",3184,"2026-08-10",3184,"2026-08-03",0,0,"0"
"Volt Stadt Braunschweig",516,"2026-08-10",NA,"2026-08-03",516,100,"0"
"Linke Stadt Braunschweig",1213,"2026-08-10",1211,"2026-08-03",2,0.17,"+2"
"BIBS Stadt Braunschweig",NA,"2026-08-10",NA,"2026-08-03",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2455,"2026-08-10",2455,"2026-08-03",0,0,"0"
