"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1788,"2026-05-04",1786,"2026-04-27",2,0.11,"+2"
"CDU Fraktion Hannover",819,"2026-05-04",820,"2026-04-27",-1,-0.12,"-1"
"SPD Stadt Hannover",3287,"2026-05-04",3289,"2026-04-27",-2,-0.06,"-2"
"SPD Fraktion Hannover",2709,"2026-05-04",2705,"2026-04-27",4,0.15,"+4"
"Grüne Stadt Hannover",3708,"2026-05-04",3708,"2026-04-27",0,0,"0"
"Grüne Fraktion Hannover",1301,"2026-05-04",1297,"2026-04-27",4,0.31,"+4"
"Grüne Kandidat Hannover",1301,"2026-05-04",1297,"2026-04-27",4,0.31,"+4"
"FDP Stadt Hannover",743,"2026-05-04",742,"2026-04-27",1,0.13,"+1"
"AfD Stadt Hannover",9180,"2026-05-04",9181,"2026-04-27",-1,-0.01,"-1"
"AfD Fraktion Hannover",3598,"2026-05-04",3597,"2026-04-27",1,0.03,"+1"
"Volt Stadt Hannover",530,"2026-05-04",529,"2026-04-27",1,0.19,"+1"
"Linke Stadt Hannover",1191,"2026-05-04",1192,"2026-04-27",-1,-0.08,"-1"
"Linke Fraktion Hannover",806,"2026-05-04",806,"2026-04-27",0,0,"0"
"Piraten Stadt Hannover",NA,"2026-05-04",518,"2026-04-27",NA,100,"0"
"Die Hannoveraner Stadt Hannover",1191,"2026-05-04",1191,"2026-04-27",0,0,"0"
"Die PARTEI Stadt Hannover",5583,"2026-05-04",5581,"2026-04-27",2,0.04,"+2"
"Freie Wähler Stadt Hannover",189,"2026-05-04",189,"2026-04-27",0,0,"0"
"CDU Stadt Braunschweig",1069,"2026-05-04",1070,"2026-04-27",-1,-0.09,"-1"
"CDU Fraktion Braunschweig",1297,"2026-05-04",1298,"2026-04-27",-1,-0.08,"-1"
"SPD Stadt Braunschweig",1607,"2026-05-04",1602,"2026-04-27",5,0.31,"+5"
"SPD Fraktion Braunschweig",665,"2026-05-04",665,"2026-04-27",0,0,"0"
"SPD Kandidat Braunschweig",1076,"2026-05-04",1076,"2026-04-27",0,0,"0"
"Grüne Stadt Braunschweig",1049,"2026-05-04",1049,"2026-04-27",0,0,"0"
"FDP Stadt Braunschweig",865,"2026-05-04",865,"2026-04-27",0,0,"0"
"AfD Fraktion Braunschweig",3175,"2026-05-04",3178,"2026-04-27",-3,-0.09,"-3"
"Volt Stadt Braunschweig",516,"2026-05-04",514,"2026-04-27",2,0.39,"+2"
"Linke Stadt Braunschweig",1196,"2026-05-04",1193,"2026-04-27",3,0.25,"+3"
"BIBS Stadt Braunschweig",NA,"2026-05-04",NA,"2026-04-27",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2465,"2026-05-04",2464,"2026-04-27",1,0.04,"+1"
