"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1796,"2026-06-15",1795,"2026-06-08",1,0.06,"+1"
"CDU Fraktion Hannover",818,"2026-06-15",817,"2026-06-08",1,0.12,"+1"
"SPD Stadt Hannover",3279,"2026-06-15",3280,"2026-06-08",-1,-0.03,"-1"
"SPD Fraktion Hannover",2735,"2026-06-15",2727,"2026-06-08",8,0.29,"+8"
"Grüne Stadt Hannover",NA,"2026-06-15",3708,"2026-06-08",NA,100,"0"
"Grüne Fraktion Hannover",1324,"2026-06-15",1323,"2026-06-08",1,0.08,"+1"
"Grüne Kandidat Hannover",1324,"2026-06-15",1323,"2026-06-08",1,0.08,"+1"
"FDP Stadt Hannover",744,"2026-06-15",744,"2026-06-08",0,0,"0"
"AfD Stadt Hannover",9257,"2026-06-15",9260,"2026-06-08",-3,-0.03,"-3"
"AfD Fraktion Hannover",3669,"2026-06-15",3648,"2026-06-08",21,0.58,"+21"
"Volt Stadt Hannover",540,"2026-06-15",540,"2026-06-08",0,0,"0"
"Linke Stadt Hannover",1189,"2026-06-15",1188,"2026-06-08",1,0.08,"+1"
"Linke Fraktion Hannover",809,"2026-06-15",809,"2026-06-08",0,0,"0"
"Piraten Stadt Hannover",519,"2026-06-15",518,"2026-06-08",1,0.19,"+1"
"Die Hannoveraner Stadt Hannover",1205,"2026-06-15",1198,"2026-06-08",7,0.58,"+7"
"Die PARTEI Stadt Hannover",5579,"2026-06-15",5586,"2026-06-08",-7,-0.13,"-7"
"Freie Wähler Stadt Hannover",189,"2026-06-15",189,"2026-06-08",0,0,"0"
"CDU Stadt Braunschweig",1066,"2026-06-15",1066,"2026-06-08",0,0,"0"
"CDU Fraktion Braunschweig",1305,"2026-06-15",1303,"2026-06-08",2,0.15,"+2"
"SPD Stadt Braunschweig",1628,"2026-06-15",1622,"2026-06-08",6,0.37,"+6"
"SPD Fraktion Braunschweig",665,"2026-06-15",666,"2026-06-08",-1,-0.15,"-1"
"SPD Kandidat Braunschweig",1073,"2026-06-15",1074,"2026-06-08",-1,-0.09,"-1"
"Grüne Stadt Braunschweig",1056,"2026-06-15",1055,"2026-06-08",1,0.09,"+1"
"FDP Stadt Braunschweig",863,"2026-06-15",864,"2026-06-08",-1,-0.12,"-1"
"AfD Fraktion Braunschweig",3191,"2026-06-15",3191,"2026-06-08",0,0,"0"
"Volt Stadt Braunschweig",518,"2026-06-15",518,"2026-06-08",0,0,"0"
"Linke Stadt Braunschweig",1204,"2026-06-15",1202,"2026-06-08",2,0.17,"+2"
"BIBS Stadt Braunschweig",NA,"2026-06-15",NA,"2026-06-08",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2460,"2026-06-15",NA,"2026-06-08",2460,100,"0"
