"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1815,"2026-07-20",1815,"2026-07-13",0,0,"0"
"CDU Fraktion Hannover",831,"2026-07-20",832,"2026-07-13",-1,-0.12,"-1"
"SPD Stadt Hannover",3276,"2026-07-20",3278,"2026-07-13",-2,-0.06,"-2"
"SPD Fraktion Hannover",NA,"2026-07-20",2738,"2026-07-13",NA,100,"0"
"Grüne Stadt Hannover",4281,"2026-07-20",3730,"2026-07-13",551,14.77,"+551"
"Grüne Fraktion Hannover",1333,"2026-07-20",1332,"2026-07-13",1,0.08,"+1"
"Grüne Kandidat Hannover",NA,"2026-07-20",1332,"2026-07-13",NA,100,"0"
"FDP Stadt Hannover",743,"2026-07-20",744,"2026-07-13",-1,-0.13,"-1"
"AfD Stadt Hannover",9394,"2026-07-20",9309,"2026-07-13",85,0.91,"+85"
"AfD Fraktion Hannover",NA,"2026-07-20",3662,"2026-07-13",NA,100,"0"
"Volt Stadt Hannover",543,"2026-07-20",543,"2026-07-13",0,0,"0"
"Linke Stadt Hannover",1249,"2026-07-20",1240,"2026-07-13",9,0.73,"+9"
"Linke Fraktion Hannover",819,"2026-07-20",818,"2026-07-13",1,0.12,"+1"
"Piraten Stadt Hannover",520,"2026-07-20",520,"2026-07-13",0,0,"0"
"Die Hannoveraner Stadt Hannover",1256,"2026-07-20",1223,"2026-07-13",33,2.7,"+33"
"Die PARTEI Stadt Hannover",5572,"2026-07-20",5573,"2026-07-13",-1,-0.02,"-1"
"Freie Wähler Stadt Hannover",189,"2026-07-20",189,"2026-07-13",0,0,"0"
"CDU Stadt Braunschweig",1069,"2026-07-20",1068,"2026-07-13",1,0.09,"+1"
"CDU Fraktion Braunschweig",1317,"2026-07-20",1316,"2026-07-13",1,0.08,"+1"
"SPD Stadt Braunschweig",1630,"2026-07-20",1629,"2026-07-13",1,0.06,"+1"
"SPD Fraktion Braunschweig",667,"2026-07-20",665,"2026-07-13",2,0.3,"+2"
"SPD Kandidat Braunschweig",1076,"2026-07-20",1076,"2026-07-13",0,0,"0"
"Grüne Stadt Braunschweig",NA,"2026-07-20",1079,"2026-07-13",NA,100,"0"
"FDP Stadt Braunschweig",861,"2026-07-20",861,"2026-07-13",0,0,"0"
"AfD Fraktion Braunschweig",3184,"2026-07-20",3184,"2026-07-13",0,0,"0"
"Volt Stadt Braunschweig",519,"2026-07-20",519,"2026-07-13",0,0,"0"
"Linke Stadt Braunschweig",1212,"2026-07-20",1210,"2026-07-13",2,0.17,"+2"
"BIBS Stadt Braunschweig",NA,"2026-07-20",NA,"2026-07-13",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2457,"2026-07-20",2458,"2026-07-13",-1,-0.04,"-1"
