"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1867,"2026-09-21",1866,"2026-09-14",1,0.05,"+1"
"CDU Fraktion Hannover",834,"2026-09-21",834,"2026-09-14",0,0,"0"
"SPD Stadt Hannover",3280,"2026-09-21",3280,"2026-09-14",0,0,"0"
"SPD Fraktion Hannover",2748,"2026-09-21",2747,"2026-09-14",1,0.04,"+1"
"Grüne Stadt Hannover",4488,"2026-09-21",4488,"2026-09-14",0,0,"0"
"Grüne Fraktion Hannover",1395,"2026-09-21",1395,"2026-09-14",0,0,"0"
"Grüne Kandidat Hannover",1395,"2026-09-21",1395,"2026-09-14",0,0,"0"
"FDP Stadt Hannover",741,"2026-09-21",741,"2026-09-14",0,0,"0"
"AfD Stadt Hannover",11712,"2026-09-21",11632,"2026-09-14",80,0.69,"+80"
"AfD Fraktion Hannover",3772,"2026-09-21",3769,"2026-09-14",3,0.08,"+3"
"Volt Stadt Hannover",557,"2026-09-21",557,"2026-09-14",0,0,"0"
"Linke Stadt Hannover",1278,"2026-09-21",1283,"2026-09-14",-5,-0.39,"-5"
"Linke Fraktion Hannover",819,"2026-09-21",819,"2026-09-14",0,0,"0"
"Piraten Stadt Hannover",518,"2026-09-21",518,"2026-09-14",0,0,"0"
"Die Hannoveraner Stadt Hannover",1315,"2026-09-21",1316,"2026-09-14",-1,-0.08,"-1"
"Die PARTEI Stadt Hannover",5559,"2026-09-21",5563,"2026-09-14",-4,-0.07,"-4"
"Freie Wähler Stadt Hannover",189,"2026-09-21",189,"2026-09-14",0,0,"0"
"CDU Stadt Braunschweig",1082,"2026-09-21",1080,"2026-09-14",2,0.19,"+2"
"CDU Fraktion Braunschweig",1325,"2026-09-21",1325,"2026-09-14",0,0,"0"
"SPD Stadt Braunschweig",1640,"2026-09-21",1639,"2026-09-14",1,0.06,"+1"
"SPD Fraktion Braunschweig",675,"2026-09-21",675,"2026-09-14",0,0,"0"
"SPD Kandidat Braunschweig",1084,"2026-09-21",1072,"2026-09-14",12,1.12,"+12"
"Grüne Stadt Braunschweig",1119,"2026-09-21",1115,"2026-09-14",4,0.36,"+4"
"FDP Stadt Braunschweig",868,"2026-09-21",863,"2026-09-14",5,0.58,"+5"
"AfD Fraktion Braunschweig",3199,"2026-09-21",3198,"2026-09-14",1,0.03,"+1"
"Volt Stadt Braunschweig",516,"2026-09-21",516,"2026-09-14",0,0,"0"
"Linke Stadt Braunschweig",1215,"2026-09-21",1215,"2026-09-14",0,0,"0"
"BIBS Stadt Braunschweig",NA,"2026-09-21",NA,"2026-09-14",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2461,"2026-09-21",2457,"2026-09-14",4,0.16,"+4"
