"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1816,"2026-07-27",1815,"2026-07-20",1,0.06,"+1"
"CDU Fraktion Hannover",831,"2026-07-27",831,"2026-07-20",0,0,"0"
"SPD Stadt Hannover",3275,"2026-07-27",3276,"2026-07-20",-1,-0.03,"-1"
"SPD Fraktion Hannover",2738,"2026-07-27",NA,"2026-07-20",2738,100,"0"
"Grüne Stadt Hannover",4290,"2026-07-27",4281,"2026-07-20",9,0.21,"+9"
"Grüne Fraktion Hannover",1338,"2026-07-27",1333,"2026-07-20",5,0.38,"+5"
"Grüne Kandidat Hannover",1338,"2026-07-27",NA,"2026-07-20",1338,100,"0"
"FDP Stadt Hannover",740,"2026-07-27",743,"2026-07-20",-3,-0.4,"-3"
"AfD Stadt Hannover",9660,"2026-07-27",9394,"2026-07-20",266,2.83,"+266"
"AfD Fraktion Hannover",3687,"2026-07-27",NA,"2026-07-20",3687,100,"0"
"Volt Stadt Hannover",544,"2026-07-27",543,"2026-07-20",1,0.18,"+1"
"Linke Stadt Hannover",1247,"2026-07-27",1249,"2026-07-20",-2,-0.16,"-2"
"Linke Fraktion Hannover",818,"2026-07-27",819,"2026-07-20",-1,-0.12,"-1"
"Piraten Stadt Hannover",520,"2026-07-27",520,"2026-07-20",0,0,"0"
"Die Hannoveraner Stadt Hannover",1270,"2026-07-27",1256,"2026-07-20",14,1.11,"+14"
"Die PARTEI Stadt Hannover",5566,"2026-07-27",5572,"2026-07-20",-6,-0.11,"-6"
"Freie Wähler Stadt Hannover",189,"2026-07-27",189,"2026-07-20",0,0,"0"
"CDU Stadt Braunschweig",1069,"2026-07-27",1069,"2026-07-20",0,0,"0"
"CDU Fraktion Braunschweig",1318,"2026-07-27",1317,"2026-07-20",1,0.08,"+1"
"SPD Stadt Braunschweig",1630,"2026-07-27",1630,"2026-07-20",0,0,"0"
"SPD Fraktion Braunschweig",667,"2026-07-27",667,"2026-07-20",0,0,"0"
"SPD Kandidat Braunschweig",1077,"2026-07-27",1076,"2026-07-20",1,0.09,"+1"
"Grüne Stadt Braunschweig",1090,"2026-07-27",NA,"2026-07-20",1090,100,"0"
"FDP Stadt Braunschweig",860,"2026-07-27",861,"2026-07-20",-1,-0.12,"-1"
"AfD Fraktion Braunschweig",3186,"2026-07-27",3184,"2026-07-20",2,0.06,"+2"
"Volt Stadt Braunschweig",517,"2026-07-27",519,"2026-07-20",-2,-0.39,"-2"
"Linke Stadt Braunschweig",1213,"2026-07-27",1212,"2026-07-20",1,0.08,"+1"
"BIBS Stadt Braunschweig",NA,"2026-07-27",NA,"2026-07-20",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2456,"2026-07-27",2457,"2026-07-20",-1,-0.04,"-1"
