"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1785,"2026-04-20",1781,"2026-04-13",4,0.22,"+4"
"CDU Fraktion Hannover",820,"2026-04-20",817,"2026-04-13",3,0.37,"+3"
"SPD Stadt Hannover",3289,"2026-04-20",3289,"2026-04-13",0,0,"0"
"SPD Fraktion Hannover",2706,"2026-04-20",2704,"2026-04-13",2,0.07,"+2"
"Grüne Stadt Hannover",3708,"2026-04-20",3709,"2026-04-13",-1,-0.03,"-1"
"Grüne Fraktion Hannover",1296,"2026-04-20",NA,"2026-04-13",1296,100,"0"
"Grüne Kandidat Hannover",1296,"2026-04-20",1295,"2026-04-13",1,0.08,"+1"
"FDP Stadt Hannover",743,"2026-04-20",742,"2026-04-13",1,0.13,"+1"
"AfD Stadt Hannover",9182,"2026-04-20",9179,"2026-04-13",3,0.03,"+3"
"AfD Fraktion Hannover",3593,"2026-04-20",3592,"2026-04-13",1,0.03,"+1"
"Volt Stadt Hannover",529,"2026-04-20",528,"2026-04-13",1,0.19,"+1"
"Linke Stadt Hannover",1192,"2026-04-20",1193,"2026-04-13",-1,-0.08,"-1"
"Linke Fraktion Hannover",807,"2026-04-20",807,"2026-04-13",0,0,"0"
"Piraten Stadt Hannover",518,"2026-04-20",519,"2026-04-13",-1,-0.19,"-1"
"Die Hannoveraner Stadt Hannover",1191,"2026-04-20",1191,"2026-04-13",0,0,"0"
"Die PARTEI Stadt Hannover",5582,"2026-04-20",5581,"2026-04-13",1,0.02,"+1"
"Freie Wähler Stadt Hannover",189,"2026-04-20",189,"2026-04-13",0,0,"0"
"CDU Stadt Braunschweig",1068,"2026-04-20",1067,"2026-04-13",1,0.09,"+1"
"CDU Fraktion Braunschweig",1298,"2026-04-20",1296,"2026-04-13",2,0.15,"+2"
"SPD Stadt Braunschweig",1601,"2026-04-20",1600,"2026-04-13",1,0.06,"+1"
"SPD Fraktion Braunschweig",665,"2026-04-20",664,"2026-04-13",1,0.15,"+1"
"SPD Kandidat Braunschweig",1079,"2026-04-20",1079,"2026-04-13",0,0,"0"
"Grüne Stadt Braunschweig",1048,"2026-04-20",1047,"2026-04-13",1,0.1,"+1"
"FDP Stadt Braunschweig",866,"2026-04-20",866,"2026-04-13",0,0,"0"
"AfD Fraktion Braunschweig",3176,"2026-04-20",3177,"2026-04-13",-1,-0.03,"-1"
"Volt Stadt Braunschweig",515,"2026-04-20",513,"2026-04-13",2,0.39,"+2"
"Linke Stadt Braunschweig",1193,"2026-04-20",1194,"2026-04-13",-1,-0.08,"-1"
"BIBS Stadt Braunschweig",NA,"2026-04-20",NA,"2026-04-13",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2466,"2026-04-20",2462,"2026-04-13",4,0.16,"+4"
